会場コード,会場,日付,レース,締切時刻,艇番,登番,選手名,年齢,支部,体重,級別,全国勝率,全国2率,当地勝率,当地2率,M番,M2率,B番,B2率,今節成績,早見
07,蒲郡,2025/08/05,1,15:19,1,4694,高田　綾,40,福岡,44,B1,4.51,25.64,4.20,20.0,41,0.00,75,0.00,3 446,5
07,蒲郡,2025/08/05,1,15:19,2,4973,栗原直也,33,埼玉,51,B1,5.18,27.43,4.89,31.5,74,0.00,50,12.50,525 64,8
07,蒲郡,2025/08/05,1,15:19,3,5186,遠藤圭吾,25,東京,54,B1,3.81,23.08,2.42,9.3,64,70.00,76,0.00,653 6,5
07,蒲郡,2025/08/05,1,15:19,4,5316,村松将平,24,静岡,53,B1,3.77,12.73,2.77,4.6,68,0.00,47,50.00,464 26,7
07,蒲郡,2025/08/05,1,15:19,5,4675,井手良太,37,大阪,50,B1,5.14,28.77,4.78,22.2,63,44.44,68,0.00,2 625,9
07,蒲郡,2025/08/05,1,15:19,6,3797,岩井　繁,52,広島,61,B1,3.95,15.84,0.00,0.0,27,63.64,70,0.00,6 254,6
07,蒲郡,2025/08/05,2,15:44,1,3715,倉尾大介,50,福岡,54,B1,5.51,37.63,4.13,12.5,60,36.36,53,70.00,3 1422,10
07,蒲郡,2025/08/05,2,15:44,2,4951,新田洋一,31,広島,53,A2,5.08,25.32,0.00,0.0,56,20.00,54,27.27,411 36,11
07,蒲郡,2025/08/05,2,15:44,3,4931,木谷賢太,29,香川,54,A2,5.85,32.52,6.22,33.3,29,33.33,37,50.00,531 3,9
07,蒲郡,2025/08/05,2,15:44,4,4875,大塚康雅,31,東京,51,B1,4.99,33.04,0.00,0.0,59,37.50,20,0.00,1 5446,7
07,蒲郡,2025/08/05,2,15:44,5,4253,西川真人,42,滋賀,56,B1,3.98,17.50,0.00,0.0,77,0.00,41,33.33,546 45,8
07,蒲郡,2025/08/05,2,15:44,6,5410,今泉　澪,19,愛知,47,B2,1.30,0.00,1.67,0.0,73,0.00,49,12.50,665 6,
07,蒲郡,2025/08/05,3,16:11,1,4405,南野利騰,40,福井,54,B1,4.49,24.35,3.42,6.4,75,0.00,58,0.00,543 1,9
07,蒲郡,2025/08/05,3,16:11,2,4180,上野秀和,42,福岡,58,B1,4.33,23.71,3.76,13.7,40,0.00,57,11.11,1 2145,10
07,蒲郡,2025/08/05,3,16:11,3,4376,藤田靖弘,41,静岡,52,A2,5.78,39.52,5.81,35.2,66,0.00,73,0.00,354 34,10
07,蒲郡,2025/08/05,3,16:11,4,5254,羽田妃希,22,愛知,46,B2,3.18,7.50,2.11,5.2,69,0.00,64,0.00,4 535,8
07,蒲郡,2025/08/05,3,16:11,5,4331,三好勇人,41,香川,55,B1,5.66,30.00,5.37,31.5,22,63.64,63,0.00,1 1451,11
07,蒲郡,2025/08/05,3,16:11,6,5002,上田健太,29,愛知,52,A1,6.03,43.16,5.97,42.6,43,0.00,32,36.36,325 14,7
07,蒲郡,2025/08/05,4,16:39,1,3808,秋田健太,50,埼玉,61,B1,3.68,21.51,3.46,23.0,34,0.00,67,0.00,455 15,8
07,蒲郡,2025/08/05,4,16:39,2,4639,雑賀勇貴,34,大阪,53,B1,4.22,22.03,4.89,18.9,37,0.00,46,20.00,142 36,
07,蒲郡,2025/08/05,4,16:39,3,3619,長谷川充,51,群馬,52,B1,5.11,29.06,6.61,50.0,30,0.00,52,20.00,222 45,9
07,蒲郡,2025/08/05,4,16:39,4,3854,吉川元浩,52,兵庫,51,A1,7.25,51.67,7.05,43.2,45,0.00,39,44.44,515233,9
07,蒲郡,2025/08/05,4,16:39,5,3912,川原正明,51,福井,51,A2,5.48,41.74,5.48,42.8,58,0.00,34,0.00,211 23,10
07,蒲郡,2025/08/05,4,16:39,6,5414,中澤英里,19,埼玉,47,B2,1.07,0.00,0.00,0.0,26,20.00,19,44.44,665 6,
07,蒲郡,2025/08/05,5,17:08,1,3731,高濱芳久,52,広島,53,A2,5.25,36.45,5.58,34.6,21,90.91,13,50.00,4 331,10
07,蒲郡,2025/08/05,5,17:08,2,4694,高田　綾,40,福岡,44,B1,4.51,25.64,4.20,20.0,41,0.00,75,0.00,3 446,1
07,蒲郡,2025/08/05,5,17:08,3,4518,大須賀友,38,愛知,52,A1,5.82,38.95,6.32,46.5,32,36.36,66,0.00,1 2513,11
07,蒲郡,2025/08/05,5,17:08,4,5186,遠藤圭吾,25,東京,54,B1,3.81,23.08,2.42,9.3,64,70.00,76,0.00,653 6,1
07,蒲郡,2025/08/05,5,17:08,5,5315,浅井　翼,24,埼玉,49,B1,2.65,11.90,1.78,11.1,61,50.00,56,11.11,6 645,9
07,蒲郡,2025/08/05,5,17:08,6,4731,間野兼礼,36,愛知,52,B1,5.58,30.10,5.85,38.7,23,0.00,43,36.36,34464,
07,蒲郡,2025/08/05,6,17:37,1,4210,松村康太,42,福井,52,A2,5.50,30.17,5.32,24.3,36,0.00,65,0.00,25124,10
07,蒲郡,2025/08/05,6,17:37,2,3761,山本光雄,53,滋賀,56,B1,4.85,29.85,5.60,40.0,67,0.00,40,60.00,446 12,
07,蒲郡,2025/08/05,6,17:37,3,3797,岩井　繁,52,広島,61,B1,3.95,15.84,0.00,0.0,27,63.64,70,0.00,6 254,1
07,蒲郡,2025/08/05,6,17:37,4,3557,太田和美,52,大阪,54,A1,6.57,46.15,7.53,63.3,62,66.67,17,50.00,232341,11
07,蒲郡,2025/08/05,6,17:37,5,5194,大久保佑,23,埼玉,45,B1,4.03,13.11,3.50,5.5,65,22.22,51,28.57,3 526,
07,蒲郡,2025/08/05,6,17:37,6,5356,長谷川暖,20,岡山,52,B1,3.69,12.09,0.00,0.0,71,0.00,35,90.91,5 4S3,
07,蒲郡,2025/08/05,7,18:04,1,4208,三浦永理,42,静岡,47,A1,6.85,43.86,7.02,48.8,70,0.00,36,22.22,156131,11
07,蒲郡,2025/08/05,7,18:04,2,3921,川村正輝,50,福井,50,B1,4.40,16.85,4.07,26.6,28,0.00,45,0.00,162 62,
07,蒲郡,2025/08/05,7,18:04,3,3891,谷口健一,49,福井,56,B1,3.69,13.21,4.44,23.4,31,50.00,77,0.00,2 4652,
07,蒲郡,2025/08/05,7,18:04,4,5002,上田健太,29,愛知,52,A1,6.03,43.16,5.97,42.6,43,0.00,32,36.36,325 14,3
07,蒲郡,2025/08/05,7,18:04,5,4875,大塚康雅,31,東京,51,B1,4.99,33.04,0.00,0.0,59,37.50,20,0.00,1 5446,2
07,蒲郡,2025/08/05,7,18:04,6,5316,村松将平,24,静岡,53,B1,3.77,12.73,2.77,4.6,68,0.00,47,50.00,464 26,1
07,蒲郡,2025/08/05,8,18:32,1,4925,森　悠稀,32,兵庫,53,A2,5.82,33.61,2.50,0.0,24,22.22,38,0.00,3 3613,11
07,蒲郡,2025/08/05,8,18:32,2,4253,西川真人,42,滋賀,56,B1,3.98,17.50,0.00,0.0,77,0.00,41,33.33,546 45,2
07,蒲郡,2025/08/05,8,18:32,3,5254,羽田妃希,22,愛知,46,B2,3.18,7.50,2.11,5.2,69,0.00,11,37.50,4 535,3
07,蒲郡,2025/08/05,8,18:32,4,4973,栗原直也,33,埼玉,51,B1,5.18,27.43,4.89,31.5,74,0.00,50,12.50,525 64,1
07,蒲郡,2025/08/05,8,18:32,5,3808,秋田健太,50,埼玉,61,B1,3.68,21.51,3.46,23.0,34,0.00,67,0.00,455 15,4
07,蒲郡,2025/08/05,8,18:32,6,4450,平高奈菜,38,香川,48,A1,7.10,47.37,7.14,61.1,25,11.11,48,0.00,321F52,
07,蒲郡,2025/08/05,9,19:02,1,4931,木谷賢太,29,香川,54,A2,5.85,32.52,6.22,33.3,29,33.33,37,50.00,531 3,2
07,蒲郡,2025/08/05,9,19:02,2,4675,井手良太,37,大阪,50,B1,5.14,28.77,4.78,22.2,63,44.44,68,0.00,2 625,1
07,蒲郡,2025/08/05,9,19:02,3,3854,吉川元浩,52,兵庫,51,A1,7.25,51.67,7.05,43.2,45,0.00,39,44.44,515233,4
07,蒲郡,2025/08/05,9,19:02,4,5315,浅井　翼,24,埼玉,49,B1,2.65,11.90,1.78,11.1,61,50.00,56,11.11,6 645,5
07,蒲郡,2025/08/05,9,19:02,5,4405,南野利騰,40,福井,54,B1,4.49,24.35,3.42,6.4,75,0.00,58,0.00,543 1,3
07,蒲郡,2025/08/05,9,19:02,6,3619,長谷川充,51,群馬,52,B1,5.11,29.06,6.61,50.0,30,0.00,52,20.00,222 45,4
07,蒲郡,2025/08/05,10,19:32,1,3912,川原正明,51,福井,51,A2,5.48,41.74,5.48,42.8,58,0.00,34,0.00,211 23,4
07,蒲郡,2025/08/05,10,19:32,2,3715,倉尾大介,50,福岡,54,B1,5.51,37.63,4.13,12.5,60,36.36,53,70.00,3 1422,2
07,蒲郡,2025/08/05,10,19:32,3,3731,高濱芳久,52,広島,53,A2,5.25,36.45,5.58,34.6,21,90.91,13,50.00,4 331,5
07,蒲郡,2025/08/05,10,19:32,4,4210,松村康太,42,福井,52,A2,5.50,30.17,5.32,24.3,36,0.00,65,0.00,25124,6
07,蒲郡,2025/08/05,10,19:32,5,4180,上野秀和,42,福岡,58,B1,4.33,23.71,3.76,13.7,40,0.00,57,11.11,1 2145,3
07,蒲郡,2025/08/05,10,19:32,6,4376,藤田靖弘,41,静岡,52,A2,5.78,39.52,5.81,35.2,66,0.00,73,0.00,354 34,3
07,蒲郡,2025/08/05,11,20:04,1,3557,太田和美,52,大阪,54,A1,6.57,46.15,7.53,63.3,62,66.67,17,50.00,232341,6
07,蒲郡,2025/08/05,11,20:04,2,4331,三好勇人,41,香川,55,B1,5.66,30.00,5.37,31.5,22,63.64,63,0.00,1 1451,3
07,蒲郡,2025/08/05,11,20:04,3,4925,森　悠稀,32,兵庫,53,A2,5.82,33.61,2.50,0.0,24,22.22,38,0.00,3 3613,8
07,蒲郡,2025/08/05,11,20:04,4,4208,三浦永理,42,静岡,47,A1,6.85,43.86,7.02,48.8,70,0.00,36,22.22,156131,7
07,蒲郡,2025/08/05,11,20:04,5,4518,大須賀友,38,愛知,52,A1,5.82,38.95,6.32,46.5,32,36.36,66,0.00,1 2513,5
07,蒲郡,2025/08/05,11,20:04,6,4951,新田洋一,31,広島,53,A2,5.08,25.32,0.00,0.0,56,20.00,54,27.27,411 36,2
07,蒲郡,2025/08/05,12,20:35,1,4055,吉田俊彦,47,兵庫,54,A2,5.90,39.10,7.35,53.8,72,0.00,69,0.00,1 3322,
07,蒲郡,2025/08/05,12,20:35,2,4361,柳生泰二,40,山口,53,A1,7.09,55.56,7.22,44.4,57,54.55,74,0.00,343154,
07,蒲郡,2025/08/05,12,20:35,3,4539,金子賢志,34,群馬,53,A1,6.20,44.88,7.88,62.5,39,0.00,33,54.55,2 1336,
07,蒲郡,2025/08/05,12,20:35,4,4649,和田操拓,41,滋賀,51,A2,5.92,38.03,5.41,41.1,33,27.27,60,0.00,151 21,
07,蒲郡,2025/08/05,12,20:35,5,4873,蒲原健太,31,佐賀,53,A2,5.68,38.05,0.00,0.0,38,0.00,61,50.00,3 3421,
07,蒲郡,2025/08/05,12,20:35,6,4734,安河内将,35,佐賀,51,A1,6.84,46.83,7.10,52.3,35,0.00,71,0.00,26S25,
