日付,会場,レース番号,枠番,選手名,級別,モーター2連率,進入コース,印,オリジナル1着率,イン逃げ2着率,3着指数,3連対率,平均ST,平均ST順位,展示タイム,展示偏差値,FLY数,FLY影響,出遅れ数,データ不足,決まり手傾向,今節成績,会場別信頼度,3連対指数,3連対補正比,逃げ%,差し%,まくり%,まくり差し%,抜き%,差され%,まくられ%,まくり差され%,イン逃げ評価,相性評価,機力評価,S安定評価,展開評価,相性生スコア,安定性生スコア,展開生スコア,逃げ合成スコア,レースランク,レーススコア,見送り推奨,戦略,会場1C勝率,ヒモ荒れ,両立て判定,飛びタイプ,飛びスコア,3択verdict,脅威合計,1号艇脆弱性,最大脅威艇,買い目,買い目_全,買い目_確率,買い目_シナリオ,点数,点数_全,1号艇1着確率,見送りフラグ,見送り理由,シナリオ種別,展開パターン
2025-05-31,びわこ,12,3,岡部大輝,A2,10.53,3,,9.9802,19.5,100,58.5,0.1423,2.7547,,,0,低,84,0,ま0% 差ま0%,3 21,0,27.5,1.0315,0,0,0.04,0.08,0,0.1832,0.1832,0.0211,,,E,○,,0.191,0.66,,0.6516,A,60,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0572, 'est_top_odds': 23.3, 'circle_concentration': 62.8, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=48.4%（本命度） / 最有力組み合わせ確率: 0.057（推定実オッズ?23倍） / 2着集中度: 上位2艇 62.8%（補正+0.00） / 総合判定確率: 0.057 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.122秒)→ヒモ固まり方向に注意'}",,,33,両建て推奨,26.22,28.7,4,,,,,,,,,,,
2025-05-31,びわこ,12,4,藤山翔大,A2,30.00,4,,17.7532,25.1,72,67.2,0.197,3.9851,,,0,低,179,0,-,2 15,0,57.8,1.0017,0,0,0.2963,0.037,0,0.1818,0.0909,0.0606,,,D,,○,0.1884,0.5395,0.1788,0.6516,A,60,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0572, 'est_top_odds': 23.3, 'circle_concentration': 62.8, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=48.4%（本命度） / 最有力組み合わせ確率: 0.057（推定実オッズ?23倍） / 2着集中度: 上位2艇 62.8%（補正+0.00） / 総合判定確率: 0.057 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.122秒)→ヒモ固まり方向に注意'}",,,33,両建て推奨,26.22,28.7,4,,,,,,,,,,,
2025-05-31,びわこ,12,5,西丸侑太,A2,63.64,5,▲,7.4217,10.8,85,44.7,0.1598,3.5745,,,0,低,100,0,差ま0%,3331,0,47.4,1.354,0,0,0,0.0909,0,0,0.1314,0.0429,,,A,,◎,0.1667,0.6105,0.3468,0.6516,A,60,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0572, 'est_top_odds': 23.3, 'circle_concentration': 62.8, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=48.4%（本命度） / 最有力組み合わせ確率: 0.057（推定実オッズ?23倍） / 2着集中度: 上位2艇 62.8%（補正+0.00） / 総合判定確率: 0.057 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.122秒)→ヒモ固まり方向に注意'}",,,33,両建て推奨,26.22,28.7,4,,,,,,,,,,,
2025-05-31,びわこ,12,6,小池哲也,A1,35.00,6,△,0.8719,6.9,63,32.7,0.1598,3.8182,,,0,低,90,0,-,4143,0,23.2,0.9942,,,,,,0.2882,0.1921,0.0316,,,C,△,,0.1925,0.6455,,0.6516,A,60,0,◎-○軸 3着3〜4艇流し（10〜15点）,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0572, 'est_top_odds': 23.3, 'circle_concentration': 62.8, 'eligible_count': 8, 'bet_adj': 2, 'reason': 'rel_win1=48.4%（本命度） / 最有力組み合わせ確率: 0.057（推定実オッズ?23倍） / 2着集中度: 上位2艇 62.8%（補正+0.00） / 総合判定確率: 0.057 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート超安定(0.122秒)→ヒモ固まり方向に注意'}",,,33,両建て推奨,26.22,28.7,4,,,,,,,,,,,
2025-06-01,びわこ,1,1,橋口真樹,B1,45.45,1,◎,46.5929,,0,56.8,0.207,4.4324,,,0,低,162,0,-,6 546,0,65.8,0.9797,0.1667,,,,,0.5833,0.2833,0.0667,,,A,△,,,0.564,,0.1262,D,30,1,大荒れ。見送り推奨,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0607, 'est_top_odds': 22.0, 'circle_concentration': 77.8, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=46.6%（本命度） / 最有力組み合わせ確率: 0.061（推定実オッズ?22倍） / 2着集中度: 上位2艇 77.8%（補正+0.04） / 総合判定確率: 0.101 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.207秒)確認→ヒモが荒れやすい'}",,,43.5,両建て推奨,19.6,50,2,2-3-5|2-5-3|2-3-6|2-3-4|2-4-3|2-4-5|2-5-6|1-2-3|1-2-5,2-3-5|2-5-3|2-3-6|2-3-4|2-4-3|2-4-5|2-5-6|6-1-3|1-2-3|6-3-1|1-2-5|4-1-5,2-3-5:2.89%|2-5-3:2.04%|2-3-6:1.65%|2-3-4:1.47%|2-4-3:1.45%|2-4-5:1.17%|2-5-6:0.94%|1-2-3:5.06%|1-2-5:4.11%,2-3-5:B_main|2-5-3:B_main|2-3-6:B_main|2-3-4:B_main|2-4-3:B_main|2-4-5:B_main|2-5-6:B_main|1-2-3:A|1-2-5:A,9,12,0.2523,1,[!]見送り推奨（主役決まり手「まくり」― 逃げ劣勢レースで的中実績なし）,主役軸流し,B
2025-06-01,びわこ,1,2,塩崎優司,B1,45.45,2,○,14.6201,48.2,72,46.8,0.1769,3.7661,,,0,低,128,0,-,4 322,0,41,0.9726,0,0,0.0741,0,0.037,0.0533,0.1657,0.0533,,◎,A,○,,0.6472,0.591,,0.1262,D,30,1,大荒れ。見送り推奨,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0607, 'est_top_odds': 22.0, 'circle_concentration': 77.8, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=46.6%（本命度） / 最有力組み合わせ確率: 0.061（推定実オッズ?22倍） / 2着集中度: 上位2艇 77.8%（補正+0.04） / 総合判定確率: 0.101 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.207秒)確認→ヒモが荒れやすい'}",,,43.5,両建て推奨,19.6,50,2,,,,,,,,,,,
2025-06-01,びわこ,1,3,三木晴斗,B1,17.65,3,▲,18.007,29.6,96,57.9,0.1382,2.5395,,,0,低,97,0,差0% ま0% 差ま0% 抜0%,6 453,0,91.7,1.2652,0,0.05,0.05,0.15,0.05,0.095,0.195,0.155,,○,D,△,,0.5495,0.5655,,0.1262,D,30,1,大荒れ。見送り推奨,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0607, 'est_top_odds': 22.0, 'circle_concentration': 77.8, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=46.6%（本命度） / 最有力組み合わせ確率: 0.061（推定実オッズ?22倍） / 2着集中度: 上位2艇 77.8%（補正+0.04） / 総合判定確率: 0.101 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.207秒)確認→ヒモが荒れやすい'}",,,43.5,両建て推奨,19.6,50,2,,,,,,,,,,,
2025-06-01,びわこ,1,4,丸山祐也,B2,8.33,4,,5.3041,9.1,100,12.8,0.2062,4.7949,,,0,低,130,0,-,4 445,0,12.1,0.5411,,,,,,0.125,0.25,0.25,,,E,,,0.3555,0.558,,0.1262,D,30,1,大荒れ。見送り推奨,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0607, 'est_top_odds': 22.0, 'circle_concentration': 77.8, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=46.6%（本命度） / 最有力組み合わせ確率: 0.061（推定実オッズ?22倍） / 2着集中度: 上位2艇 77.8%（補正+0.04） / 総合判定確率: 0.101 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.207秒)確認→ヒモが荒れやすい'}",,,43.5,両建て推奨,19.6,50,2,,,,,,,,,,,
2025-06-01,びわこ,1,5,繁野谷圭,A2,11.11,5,△,8.6817,6.3,77,37,0.1672,3.6759,,,0,低,180,0,差ま0%,365 51,0,35.3,1.2117,0,0,0,0.0714,0,0.0108,0.0432,0.2232,,△,D,◎,,0.457,0.6095,,0.1262,D,30,1,大荒れ。見送り推奨,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0607, 'est_top_odds': 22.0, 'circle_concentration': 77.8, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=46.6%（本命度） / 最有力組み合わせ確率: 0.061（推定実オッズ?22倍） / 2着集中度: 上位2艇 77.8%（補正+0.04） / 総合判定確率: 0.101 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.207秒)確認→ヒモが荒れやすい'}",,,43.5,両建て推奨,19.6,50,2,,,,,,,,,,,
2025-06-01,びわこ,1,6,藤山翔大,A2,30.00,6,,6.7942,6.8,97,32.3,0.22,4.4516,,,0,低,179,0,-,2 1543,0,24.2,1.535,0,0,0.0769,0.0769,0,0.1818,0.0909,0.0606,,,B,,,0.3031,0.5395,,0.1262,D,30,1,大荒れ。見送り推奨,0.5,"{'is_target': True, 'verdict': '参加推奨', 'max_combo_prob': 0.0607, 'est_top_odds': 22.0, 'circle_concentration': 77.8, 'eligible_count': 6, 'bet_adj': 2, 'reason': 'rel_win1=46.6%（本命度） / 最有力組み合わせ確率: 0.061（推定実オッズ?22倍） / 2着集中度: 上位2艇 77.8%（補正+0.04） / 総合判定確率: 0.101 / → ヒモ分散。1号艇1着固定で広めのヒモ流し推奨（買い目+2点）', 'tenji_trigger': '展示確認: ヒモ分散レース。1号艇伸び確認後、広めのヒモ流しを採用。穴ヒモ（5・6号艇）を積極的に含める。\n展示で1号艇スタート遅め(0.207秒)確認→ヒモが荒れやすい'}",,,43.5,両建て推奨,19.6,50,2,,,,,,,,,,,
