日付,会場,レース番号,戦略,レースランク,レーススコア,見送り推奨,3択verdict,シナリオ種別,展開パターン,脅威合計,1号艇脆弱性,最大脅威艇,買い目ソース,生成点数,買い目リスト,実結果,的中,的中買い目,払戻金,投資額,回収額,収支,結果データあり
2026-04-11,鳴門,12,◎-○軸 3着3〜4艇流し（10〜15点）,A,67,0,逃げ狙い,逃げ軸流し,A,28.76,20.1,5,実買い目_全,10,1-2-5|1-3-5|1-2-6|1-3-6|1-2-3|1-5-6|1-5-3|2-1-5|2-1-4|2-1-3,1-3-4,False,,740,1000,0,-1000,True
2026-04-11,鳴門,11,◎○△フォーメーション（15〜20点）,B,52,0,両建て推奨,主役軸流し,B,17.73,31.6,2,実買い目_全,12,2-1-3|2-1-4|2-1-5|2-3-1|2-4-1|2-3-4|2-3-5|1-2-4|1-3-4|1-3-2|1-2-5|1-3-5,1-3-2,True,1-3-2,1590,1200,1590,390,True
2025-02-02,びわこ,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,63,0,両建て推奨,逃げ軸流し,A,14.87,27.8,2,実買い目_全,11,1-3-6|1-2-6|1-3-4|1-2-4|1-2-3|1-5-6|1-5-4|1-5-3|4-1-3|4-1-2|4-1-5,1-2-3,True,1-2-3,470,1100,470,-630,True
2026-04-11,鳴門,9,◎○△フォーメーション（15〜20点）,B,55,0,両建て推奨,逃げ軸流し,A,14.13,30.8,3,実買い目_全,9,1-3-4|1-3-2|1-4-3|1-2-4|1-4-2|1-2-3|3-1-4|2-1-4|5-1-2,1-3-2,True,1-3-2,1710,900,1710,810,True
2026-04-11,鳴門,8,大荒れ。見送り推奨,D,21,0,両建て推奨,主役軸流し,B,15.0,33.1,2,実買い目_全,12,2-1-5|2-1-3|2-1-4|2-3-1|2-4-1|2-3-5|2-3-4|1-2-5|1-2-3|1-3-2|1-3-5|1-4-2,2-1-5,True,2-1-5,4030,1200,4030,2830,True
2025-02-02,びわこ,6,◎○△フォーメーション（15〜20点）,B,48,0,両建て推奨,主役軸流し,B,20.05,35.8,3,実買い目_全,12,2-1-3|2-1-4|2-3-1|2-1-5|2-4-1|2-3-4|2-4-3|1-3-2|1-3-4|1-2-3|1-2-4|1-5-3,3-1-6,False,,1520,1200,0,-1200,True
2025-02-02,びわこ,5,◎-○軸 3着3〜4艇流し（10〜15点）,A,72,0,逃げ狙い,逃げ軸流し,A,13.3,30.7,2,実買い目_全,10,1-3-5|1-2-5|1-2-3|1-3-4|1-2-4|1-5-3|1-5-4|4-1-5|4-1-3|4-1-2,5-3-6,False,,149510,1000,0,-1000,True
2025-02-02,びわこ,4,大荒れ。見送り推奨,D,16,0,両建て推奨,主役軸流し,B,23.18,35.7,3,実買い目_全,12,3-1-4|3-1-5|3-1-6|3-4-1|3-5-1|3-4-5|3-4-6|1-3-4|1-3-6|5-1-6|6-1-2|6-1-4,3-6-2,False,,1990,1200,0,-1200,True
2025-02-02,びわこ,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,70,0,逃げ狙い,逃げ軸流し,A,15.59,30.1,3,実買い目_全,10,1-2-3|1-3-4|1-3-5|1-2-4|1-5-3|1-2-5|1-5-4|3-1-4|3-1-5|3-1-2,1-3-5,True,1-3-5,900,1000,900,-100,True
2025-02-02,びわこ,1,大荒れ。見送り推奨,D,33,0,両建て推奨,主役軸流し,B,14.07,36.4,4,実買い目_全,12,2-1-4|2-1-3|2-1-5|2-3-1|2-4-1|2-3-4|2-4-3|6-1-4|1-2-4|5-1-6|1-3-4|1-2-5,1-2-4,True,1-2-4,1310,1200,1310,110,True
2025-06-24,江戸川,4,大荒れ。見送り推奨,D,31,0,両建て推奨,主役軸流し,B,14.76,36.6,2,実買い目_全,12,3-4-5|3-5-4|3-4-6|3-4-2|3-6-4|3-5-6|3-6-5|1-3-4|1-2-4|1-3-5|1-2-5|1-3-2,3-2-1,False,,2290,1200,0,-1200,True
2025-06-24,江戸川,3,◎○△フォーメーション（15〜20点）,B,49,0,両建て推奨,主役軸流し,B,17.06,29.3,2,実買い目_全,12,2-1-3|2-1-4|2-1-5|2-3-1|2-4-1|2-4-3|2-3-4|1-2-5|1-2-3|1-3-5|1-3-2|1-5-2,1-2-5,True,1-2-5,1320,1200,1320,120,True
2026-04-11,鳴門,5,大荒れ。見送り推奨,D,23,0,両建て推奨,荒れ広め,D,20.41,41.5,4,実買い目_全,12,6-1-4|6-1-3|6-4-1|5-3-1|2-1-4|6-3-1|5-6-1|1-2-4|1-3-4|1-3-2|1-2-3|1-4-2,5-1-4,False,,46330,1200,0,-1200,True
2025-02-02,びわこ,8,◎-○軸 3着3〜4艇流し（10〜15点）,A,76,0,逃げ狙い,逃げ軸流し,A,13.88,32.6,4,実買い目_全,9,1-3-4|1-5-4|1-4-5|1-3-5|1-4-3|1-5-3|4-1-3|4-1-5|6-1-3,1-5-4,True,1-5-4,1990,900,1990,1090,True
2025-02-02,びわこ,7,大荒れ。見送り推奨,D,28,0,両建て推奨,主役軸流し,B,17.81,39.6,2,実買い目_全,12,2-1-3|2-1-4|2-3-1|2-1-5|2-4-1|2-3-4|2-4-3|1-2-3|1-2-4|1-3-2|1-3-4|1-4-2,1-5-3,False,,14950,1200,0,-1200,True
2026-04-11,鳴門,10,◎○△フォーメーション（15〜20点）,B,49,0,両建て推奨,主役軸流し,B,14.03,37.6,2,実買い目_全,12,2-1-4|2-1-3|2-1-5|2-3-1|2-4-1|2-3-4|2-4-3|1-2-4|1-2-6|2-1-6|1-3-2|1-3-4,3-2-4,False,,8970,1200,0,-1200,True
2025-06-04,大村,11,◎1着固定 2-3着流し（5〜8点）,S,100,0,逃げ狙い,逃げ軸流し,A,11.79,23.0,2,実買い目_全,10,1-2-5|1-2-4|1-3-5|1-3-2|1-3-4|1-5-2|1-5-4|4-1-2|4-1-5|4-1-3,1-5-4,True,1-5-4,4160,1000,4160,3160,True
2025-06-04,大村,10,◎1着固定 2-3着流し（5〜8点）,S,100,0,逃げ狙い,逃げ軸流し,A,13.34,23.5,3,実買い目_全,9,1-3-2|1-3-4|1-2-4|1-2-3|1-4-2|1-4-3|3-1-2|3-1-4|3-1-5,1-3-4,True,1-3-4,650,900,650,-250,True
2025-06-04,大村,9,◎1着固定 2-3着流し（5〜8点）,S,89,0,逃げ狙い,逃げ軸流し,A,16.54,28.7,3,実買い目_全,10,1-2-5|1-3-5|1-2-4|1-3-4|1-3-2|1-4-5|1-4-2|2-1-4|2-1-5|2-1-3,1-2-4,True,1-2-4,1480,1000,1480,480,True
2026-04-06,福岡,8,◎-○軸 3着3〜4艇流し（10〜15点）,A,67,0,逃げ狙い,主役軸流し,B,11.78,44.2,4,実買い目_全,12,5-1-2|5-1-4|5-2-1|5-1-6|5-3-1|5-3-2|5-2-4|1-2-4|1-2-5|1-4-5|1-3-4|1-4-2,3-1-2,False,,3610,1200,0,-1200,True
2026-04-06,福岡,5,◎1着固定 2-3着流し（5〜8点）,S,91,0,逃げ狙い,逃げ軸流し,A,11.9,31.1,4,実買い目_全,9,1-2-4|1-3-4|1-2-3|1-3-2|1-4-2|1-4-3|3-1-4|3-1-2|6-1-2,1-2-4,True,1-2-4,1510,900,1510,610,True
2026-04-06,福岡,4,◎-○軸 3着3〜4艇流し（10〜15点）,A,76,0,逃げ狙い,逃げ軸流し,A,13.42,32.9,3,実買い目_全,10,1-4-6|1-2-6|1-2-4|1-4-2|1-3-6|1-3-4|1-3-2|4-1-3|4-1-2|4-1-6,1-2-6,True,1-2-6,420,1000,420,-580,True
2025-06-05,大村,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,78,0,逃げ狙い,主役軸流し,B,10.62,35.1,2,実買い目_全,12,2-1-3|2-1-4|2-3-1|2-4-1|2-1-5|2-3-4|2-4-3|1-3-2|1-3-4|1-2-3|1-2-4|1-4-2,1-4-2,True,1-4-2,1900,1200,1900,700,True
2025-06-05,大村,1,◎○△フォーメーション（15〜20点）,B,59,0,両建て推奨,主役軸流し,B,11.62,47.2,3,実買い目_全,12,3-1-5|3-1-4|3-1-2|3-4-1|3-2-1|3-4-5|3-2-5|1-3-5|1-3-2|1-2-5|1-2-3|1-5-3,2-1-5,False,,1030,1200,0,-1200,True
2025-06-24,江戸川,2,◎○△フォーメーション（15〜20点）,B,55,0,両建て推奨,主役軸流し,B,14.13,29.7,2,実買い目_全,12,3-4-5|3-4-6|3-4-2|3-5-6|3-5-4|3-2-5|3-2-6|3-1-2|1-2-3|1-2-6|1-3-2|1-3-6,2-3-5,False,,4800,1200,0,-1200,True
2025-06-24,江戸川,1,荒れ傾向。高配当狙いか見送り,C,36,0,両建て推奨,荒れ広め,D,14.06,40.9,4,実買い目_全,12,2-1-3|2-3-1|3-1-5|2-1-5|4-5-6|4-5-1|6-1-3|1-3-4|1-4-3|1-3-6|1-2-3|1-2-4,1-2-3,True,1-2-3,1570,1200,1570,370,True
2025-06-23,江戸川,12,◎-○軸 3着3〜4艇流し（10〜15点）,A,61,0,両建て推奨,逃げ軸流し,A,16.71,27.3,2,実買い目_全,9,1-3-5|1-2-5|1-3-2|1-2-3|1-5-3|1-5-2|2-1-5|2-1-4|2-1-3,不明,,,0,900,0,-900,False
2025-06-23,江戸川,11,◎-○軸 3着3〜4艇流し（10〜15点）,A,64,0,両建て推奨,逃げ軸流し,A,11.58,28.9,4,実買い目_全,10,1-2-4|1-3-4|1-2-5|1-3-2|1-3-5|1-4-2|1-4-5|4-1-3|4-1-2|4-1-5,不明,,,0,1000,0,-1000,False
2025-02-02,びわこ,10,大荒れ。見送り推奨,D,31,0,両建て推奨,逃げ軸流し,A,18.78,28.4,2,実買い目_全,10,1-2-3|1-2-6|1-3-6|1-3-2|1-5-3|1-5-6|1-5-2|6-1-3|4-5-6|6-1-4,1-4-3,False,,21170,1000,0,-1000,True
2025-02-02,びわこ,9,◎1着固定 2-3着流し（5〜8点）,S,80,0,逃げ狙い,主役軸流し,B,11.81,26.5,3,実買い目_全,12,4-1-2|4-1-5|4-2-1|4-1-6|4-3-1|4-2-5|4-2-6|4-1-3|1-3-4|1-3-6|1-3-2|1-4-3,1-2-6,False,,2890,1200,0,-1200,True
2026-04-11,鳴門,7,大荒れ。見送り推奨,D,32,0,両建て推奨,主役軸流し,B,16.49,40.7,4,実買い目_全,12,2-1-3|2-1-5|2-1-4|2-3-1|2-3-5|2-4-1|2-3-4|1-2-3|5-1-6|5-6-1|6-1-3|1-2-5,3-2-5,False,,3290,1200,0,-1200,True
2026-04-11,鳴門,6,荒れ傾向。高配当狙いか見送り,C,41,0,両建て推奨,主役軸流し,B,15.09,35.3,3,実買い目_全,12,3-4-5|3-4-6|3-5-4|3-4-2|3-5-6|3-6-4|3-5-2|1-2-3|1-3-4|1-3-5|1-2-4|1-2-5,3-4-6,True,3-4-6,13310,1200,13310,12110,True
2025-06-05,大村,6,◎1着固定 2-3着流し（5〜8点）,S,100,0,逃げ狙い,逃げ軸流し,A,14.43,28.2,2,実買い目_全,10,1-2-4|1-2-5|1-3-4|1-4-5|1-4-2|1-3-5|1-3-2|2-1-4|2-1-3|2-1-5,1-5-2,False,,700,1000,0,-1000,True
2025-06-05,大村,5,◎1着固定 2-3着流し（5〜8点）,S,80,0,逃げ狙い,主役軸流し,B,12.89,37.6,3,実買い目_全,12,2-1-3|2-1-4|2-3-1|2-4-1|2-1-6|2-3-4|2-4-3|1-2-3|1-3-2|1-3-6|1-2-6|1-4-3,1-6-2,False,,2880,1200,0,-1200,True
2026-04-06,福岡,3,◎1着固定 2-3着流し（5〜8点）,S,98,0,逃げ狙い,主役軸流し,B,14.13,28.2,3,実買い目_全,12,4-5-1|4-1-6|4-1-5|4-5-6|4-1-2|4-6-1|4-5-2|4-1-3|1-3-2|1-3-4|1-2-3|1-2-4,3-2-4,False,,750,1200,0,-1200,True
2026-04-06,福岡,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,72,0,逃げ狙い,逃げ軸流し,A,11.62,30.6,2,実買い目_全,10,1-2-3|1-2-5|1-3-2|1-3-5|1-4-3|1-4-2|1-4-5|3-1-2|4-1-2|3-1-5,2-1-3,False,,600,1000,0,-1000,True
2025-06-04,大村,6,◎-○軸 3着3〜4艇流し（10〜15点）,A,66,0,逃げ狙い,主役軸流し,B,15.76,35.5,4,実買い目_全,12,3-4-5|3-5-4|3-5-6|3-6-5|3-5-1|3-4-6|3-4-1|1-2-5|1-2-4|1-3-5|1-2-3|1-3-4,5-1-2,False,,2770,1200,0,-1200,True
2025-06-04,大村,5,◎1着固定 2-3着流し（5〜8点）,S,96,0,逃げ狙い,逃げ軸流し,A,18.53,27.4,3,実買い目_全,10,1-3-6|1-3-4|1-2-6|1-2-4|1-2-3|1-4-6|1-4-3|2-1-4|2-1-3|2-1-6,2-3-6,False,,24550,1000,0,-1000,True
2025-06-04,大村,4,◎1着固定 2-3着流し（5〜8点）,S,97,0,逃げ狙い,逃げ軸流し,A,7.91,28.0,2,実買い目_全,11,1-2-4|1-3-4|1-2-3|1-2-6|1-3-6|1-5-4|1-5-3|1-5-6|3-1-4|3-1-2|3-1-6,2-1-6,False,,5840,1100,0,-1100,True
2025-06-04,大村,3,◎1着固定 2-3着流し（5〜8点）,S,87,0,逃げ狙い,逃げ軸流し,A,13.97,35.9,4,実買い目_全,10,1-4-6|1-2-4|1-2-6|1-4-2|1-3-4|1-3-6|1-3-2|2-1-4|5-1-6|6-1-4,1-4-5,False,,2580,1000,0,-1000,True
2025-06-23,江戸川,4,◎○△フォーメーション（15〜20点）,B,50,0,両建て推奨,主役軸流し,B,15.66,30.3,3,実買い目_全,12,5-1-2|5-2-1|5-1-3|5-1-4|5-3-1|5-2-3|5-3-2|1-2-4|1-3-4|1-3-2|1-2-3|1-4-2,1-3-5,False,,1440,1200,0,-1200,True
2025-06-24,江戸川,5,大荒れ。見送り推奨,D,25,0,両建て推奨,主役軸流し,B,18.78,34.6,2,実買い目_全,12,3-4-5|3-4-6|3-4-1|3-5-4|3-2-4|3-2-5|3-5-6|1-2-3|1-2-6|1-2-4|1-3-6|1-4-3,2-1-6,False,,1080,1200,0,-1200,True
2025-06-23,江戸川,8,大荒れ。見送り推奨,D,28,0,両建て推奨,荒れ広め,D,19.27,32.3,2,実買い目_全,12,6-1-4|2-1-4|5-1-6|6-4-1|5-6-1|2-1-3|6-1-3|1-2-4|1-2-3|1-3-4|1-4-2|1-3-2,不明,,,0,1200,0,-1200,False
2025-06-23,江戸川,7,大荒れ。見送り推奨,D,24,0,両建て推奨,主役軸流し,B,19.42,27.4,2,実買い目_全,12,2-1-3|2-1-4|2-3-1|2-1-5|2-4-1|2-4-3|2-3-4|1-2-4|1-2-5|1-3-2|1-3-4|1-4-2,2-4-1,True,2-4-1,1570,1200,1570,370,True
2025-06-24,江戸川,10,◎○△フォーメーション（15〜20点）,B,58,0,両建て推奨,逃げ軸流し,A,13.28,28.8,3,実買い目_全,10,1-3-4|1-3-6|1-2-3|1-4-3|1-2-4|1-2-6|1-4-6|3-1-4|3-1-2|3-1-5,1-5-6,False,,12510,1000,0,-1000,True
2026-04-11,鳴門,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,74,0,逃げ狙い,逃げ軸流し,A,14.62,27.1,2,実買い目_全,10,1-2-3|1-2-6|1-3-2|1-4-2|1-4-3|1-3-6|1-4-6|2-1-3|2-1-4|2-1-6,2-3-5,False,,1160,1000,0,-1000,True
2025-06-01,びわこ,4,大荒れ。見送り推奨,D,15,0,両建て推奨,主役軸流し,B,18.3,41.5,3,実買い目_全,12,2-1-3|2-1-4|2-3-4|2-3-1|2-1-5|2-4-3|2-4-1|1-2-4|1-3-4|1-3-2|1-2-3|1-4-2,3-6-4,False,,3160,1200,0,-1200,True
2025-06-01,びわこ,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,61,0,両建て推奨,主役軸流し,B,15.5,27.2,2,実買い目_全,12,2-1-3|2-3-1|2-1-4|2-1-5|2-4-1|2-3-4|2-3-5|1-2-3|1-2-5|1-3-2|1-3-5|1-5-3,4-2-5,False,,3510,1200,0,-1200,True
2025-06-05,大村,10,◎1着固定 2-3着流し（5〜8点）,S,80,0,逃げ狙い,逃げ軸流し,A,22.46,26.4,4,実買い目_全,10,1-3-4|1-4-3|1-3-6|1-4-6|1-2-4|1-2-3|1-2-6|3-1-4|3-1-5|3-1-2,1-4-3,True,1-4-3,1510,1000,1510,510,True
2025-06-05,大村,9,◎1着固定 2-3着流し（5〜8点）,S,83,0,逃げ狙い,逃げ軸流し,A,14.47,26.1,4,実買い目_全,11,1-2-4|1-3-4|1-4-5|1-4-6|1-2-5|1-3-5|1-2-6|1-3-6|4-1-3|4-1-5|4-1-2,4-5-6,False,,5840,1100,0,-1100,True
2025-06-05,大村,8,◎1着固定 2-3着流し（5〜8点）,S,87,0,逃げ狙い,逃げ軸流し,A,12.81,29.9,2,実買い目_全,9,1-3-4|1-3-2|1-2-4|1-2-3|1-4-3|1-4-2|3-1-4|3-1-2|6-1-2,3-1-5,False,,4140,900,0,-900,True
2025-06-05,大村,7,◎-○軸 3着3〜4艇流し（10〜15点）,A,68,0,逃げ狙い,逃げ軸流し,A,10.88,32.6,2,実買い目_全,10,1-2-4|1-2-6|1-3-4|1-4-6|1-3-6|1-2-3|1-4-3|6-1-4|6-1-2|6-1-3,3-1-2,False,,23960,1000,0,-1000,True
2025-06-04,大村,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,70,0,逃げ狙い,逃げ軸流し,A,14.72,28.3,3,実買い目_全,10,1-3-5|1-3-4|1-2-5|1-2-4|1-4-5|1-2-3|1-4-3|6-1-3|6-1-4|5-1-6,1-3-4,True,1-3-4,900,1000,900,-100,True
2025-06-04,大村,1,◎1着固定 2-3着流し（5〜8点）,S,88,0,逃げ狙い,逃げ軸流し,A,28.56,31.9,6,実買い目_全,10,1-2-4|1-2-3|1-3-4|1-3-2|1-5-4|1-5-2|1-5-3|4-1-3|4-1-5|4-1-6,1-2-3,True,1-2-3,640,1000,640,-360,True
2026-04-06,福岡,11,◎1着固定 2-3着流し（5〜8点）,S,85,0,逃げ狙い,荒れ広め,D,20.06,31.4,4,実買い目_全,12,2-1-3|5-1-2|4-5-1|5-1-3|4-1-5|5-3-1|6-1-2|1-3-4|1-2-4|1-4-3|4-1-3|1-2-3,3-1-2,False,,3560,1200,0,-1200,True
2026-04-06,福岡,10,◎1着固定 2-3着流し（5〜8点）,S,93,0,逃げ狙い,逃げ軸流し,A,18.01,26.5,2,実買い目_全,11,1-2-4|1-2-6|1-3-2|1-3-4|1-3-6|1-5-2|1-5-4|1-5-6|2-1-4|2-1-5|2-1-3,3-1-5,False,,2790,1100,0,-1100,True
2025-06-01,びわこ,7,◎○△フォーメーション（15〜20点）,B,50,0,両建て推奨,逃げ軸流し,A,12.63,27.4,4,実買い目_全,10,1-3-4|1-3-5|1-2-3|1-4-3|1-2-4|1-2-5|1-4-5|3-1-4|3-1-2|3-1-5,3-2-5,False,,2470,1000,0,-1000,True
2025-06-01,びわこ,6,大荒れ。見送り推奨,D,28,0,両建て推奨,主役軸流し,B,22.67,38.3,2,実買い目_全,12,4-5-6|4-6-5|4-5-1|4-5-2|4-6-1|4-6-2|4-2-5|1-2-4|1-3-4|1-2-3|1-4-2|1-3-2,2-4-1,False,,1620,1200,0,-1200,True
2025-06-01,びわこ,5,◎○△フォーメーション（15〜20点）,B,59,0,両建て推奨,逃げ軸流し,A,16.54,32.2,4,実買い目_全,10,1-2-3|1-2-6|1-3-2|1-3-6|1-4-3|1-4-2|1-4-6|4-1-3|2-1-3|4-1-2,3-1-4,False,,2390,1000,0,-1000,True
2026-04-11,鳴門,4,◎-○軸 3着3〜4艇流し（10〜15点）,A,61,0,両建て推奨,逃げ軸流し,A,18.86,27.7,4,実買い目_全,9,1-2-4|1-2-3|1-3-4|1-3-2|1-4-2|1-4-3|3-1-4|3-1-2|3-1-5,1-4-2,True,1-4-2,880,900,880,-20,True
2025-06-24,江戸川,9,◎-○軸 3着3〜4艇流し（10〜15点）,A,66,0,逃げ狙い,逃げ軸流し,A,18.55,26.1,2,実買い目_全,10,1-2-4|1-2-5|1-3-4|1-3-5|1-5-4|1-2-3|1-5-3|3-1-5|3-1-4|3-1-2,1-2-3,True,1-2-3,1830,1000,1830,830,True
2025-06-24,江戸川,8,大荒れ。見送り推奨,D,29,0,両建て推奨,荒れ広め,D,17.58,39.9,4,実買い目_全,12,4-1-5|5-1-6|2-3-5|5-1-3|4-1-6|5-3-1|4-5-1|1-2-5|1-3-5|1-2-3|1-3-2|1-5-2,5-1-2,False,,2920,1200,0,-1200,True
2025-06-23,江戸川,6,大荒れ。見送り推奨,D,18,0,両建て推奨,荒れ広め,D,15.28,40.0,3,実買い目_全,12,6-1-4|3-4-5|6-1-5|6-4-1|6-1-3|2-1-4|3-5-4|1-2-5|1-3-5|1-3-2|1-2-4|1-4-5,2-4-1,False,,7970,1200,0,-1200,True
2025-06-23,江戸川,5,大荒れ。見送り推奨,D,11,0,両建て推奨,主役軸流し,B,18.94,37.4,3,実買い目_全,12,2-1-3|2-1-4|2-1-5|2-3-1|2-4-1|2-3-4|2-4-3|5-1-6|4-5-6|1-2-6|1-2-5|1-2-3,2-3-5,False,,3330,1200,0,-1200,True
2026-04-05,福岡,11,◎1着固定 2-3着流し（5〜8点）,S,89,0,逃げ狙い,逃げ軸流し,A,20.92,24.8,2,実買い目_全,10,1-3-4|1-3-5|1-2-4|1-2-3|1-2-5|1-4-3|1-4-5|3-1-4|3-1-5|3-1-2,1-2-3,True,1-2-3,700,1000,700,-300,True
2025-06-05,大村,12,◎1着固定 2-3着流し（5〜8点）,S,86,0,逃げ狙い,逃げ軸流し,A,15.13,31.3,2,実買い目_全,9,1-2-4|1-2-3|1-3-4|1-3-2|1-4-2|1-4-3|2-1-4|2-1-3|2-1-5,1-2-4,True,1-2-4,620,900,620,-280,True
2025-06-05,大村,11,◎1着固定 2-3着流し（5〜8点）,S,100,0,逃げ狙い,逃げ軸流し,A,27.55,23.0,2,実買い目_全,10,1-2-5|1-2-4|1-3-5|1-3-2|1-3-4|1-5-2|1-5-4|2-1-3|2-1-5|2-1-4,1-2-5,True,1-2-5,740,1000,740,-260,True
2026-04-06,福岡,9,◎-○軸 3着3〜4艇流し（10〜15点）,A,67,0,逃げ狙い,荒れ広め,D,28.33,33.2,2,実買い目_全,12,2-3-4|6-1-3|3-1-5|2-3-5|6-1-4|2-4-3|3-1-4|1-2-5|1-2-4|1-3-2|1-4-2|1-3-5,1-3-5,True,1-3-5,3230,1200,3230,2030,True
2025-06-03,大村,12,◎-○軸 3着3〜4艇流し（10〜15点）,A,69,0,逃げ狙い,主役軸流し,B,18.56,38.8,3,実買い目_全,12,3-4-5|3-5-4|3-4-6|3-4-1|3-1-4|3-5-6|3-1-5|1-3-4|1-2-4|1-3-2|1-2-3|1-4-3,3-2-5,False,,9050,1200,0,-1200,True
2025-06-03,大村,11,◎1着固定 2-3着流し（5〜8点）,S,100,0,逃げ狙い,逃げ軸流し,A,15.72,23.5,3,実買い目_全,9,1-3-4|1-3-2|1-2-4|1-2-3|1-4-2|1-4-3|4-1-3|4-1-5|4-1-2,1-3-4,True,1-3-4,870,900,870,-30,True
2026-04-11,福岡,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,71,0,逃げ狙い,逃げ軸流し,A,26.48,23.6,3,実買い目_全,10,1-3-4|1-2-4|1-3-5|1-2-5|1-2-3|1-4-5|1-4-3|2-1-4|2-1-3|2-1-5,1-2-3,True,1-2-3,1660,1000,1660,660,True
2025-06-07,大村,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,70,0,逃げ狙い,逃げ軸流し,A,20.46,38.6,4,実買い目_全,10,1-2-4|1-3-4|1-4-2|1-2-6|1-4-6|1-3-2|1-3-6|6-1-2|5-1-6|4-1-2,1-2-4,True,1-2-4,1150,1000,1150,150,True
2025-06-23,江戸川,2,◎○△フォーメーション（15〜20点）,B,57,0,両建て推奨,逃げ軸流し,A,15.33,27.2,3,実買い目_全,10,1-3-4|1-3-5|1-2-3|1-4-3|1-2-4|1-2-5|1-4-5|6-1-3|2-1-3|6-1-4,1-3-4,True,1-3-4,1440,1000,1440,440,True
2025-06-23,江戸川,1,◎-○軸 3着3〜4艇流し（10〜15点）,A,62,0,両建て推奨,主役軸流し,B,12.87,29.3,3,実買い目_全,12,4-5-1|4-1-5|4-1-6|4-6-1|4-1-2|4-5-6|4-5-2|4-1-3|1-3-2|1-3-4|1-2-4|1-2-3,1-4-5,False,,9160,1200,0,-1200,True
2025-06-24,江戸川,12,◎-○軸 3着3〜4艇流し（10〜15点）,A,70,0,逃げ狙い,逃げ軸流し,A,12.35,25.9,4,実買い目_全,11,1-2-4|1-3-4|1-2-3|1-2-6|1-3-6|1-5-4|1-5-3|1-5-6|4-1-3|4-1-5|4-1-2,4-2-6,False,,18910,1100,0,-1100,True
2026-04-11,鳴門,1,◎-○軸 3着3〜4艇流し（10〜15点）,A,66,0,逃げ狙い,逃げ軸流し,A,13.49,25.9,2,実買い目_全,9,1-2-4|1-2-3|1-3-2|1-3-4|1-4-2|1-4-3|3-1-4|3-1-2|3-1-6,3-1-4,True,3-1-4,8810,900,8810,7910,True
2026-03-23,鳴門,12,◎-○軸 3着3〜4艇流し（10〜15点）,A,67,0,逃げ狙い,逃げ軸流し,A,15.78,22.6,3,実買い目_全,10,1-3-4|1-2-4|1-3-6|1-4-3|1-2-3|1-4-6|1-2-6|3-1-4|3-1-6|3-1-5,1-3-2,False,,1360,1000,0,-1000,True
2025-06-01,びわこ,10,◎○△フォーメーション（15〜20点）,B,58,0,両建て推奨,荒れ広め,D,21.02,31.1,3,実買い目_全,12,5-1-6|6-1-3|6-1-4|5-6-1|2-1-3|6-3-1|6-4-1|1-2-4|1-2-3|1-3-4|1-4-3|1-3-2,1-4-2,False,,1690,1200,0,-1200,True
2025-06-01,びわこ,9,◎○△フォーメーション（15〜20点）,B,47,0,両建て推奨,逃げ軸流し,A,14.37,29.1,4,実買い目_全,10,1-2-4|1-3-4|1-2-5|1-2-3|1-3-5|1-4-5|1-4-3|5-1-4|5-1-3|2-1-3,5-6-3,False,,155870,1000,0,-1000,True
2025-06-01,びわこ,8,荒れ傾向。高配当狙いか見送り,C,44,0,両建て推奨,主役軸流し,B,13.04,38.0,3,実買い目_全,12,3-4-5|3-5-4|3-4-2|3-4-6|3-2-4|3-5-2|3-5-6|5-1-2|2-1-4|1-3-2|1-2-3|5-2-1,1-3-4,False,,1460,1200,0,-1200,True
2025-06-07,大村,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,72,0,逃げ狙い,主役軸流し,B,14.2,33.2,3,実買い目_全,12,2-1-3|2-1-5|2-1-4|2-3-1|2-4-1|2-3-5|2-3-4|1-2-3|1-3-5|1-3-2|1-2-5|1-5-3,4-1-5,False,,33970,1200,0,-1200,True
2025-06-07,大村,1,◎1着固定 2-3着流し（5〜8点）,S,80,0,逃げ狙い,主役軸流し,B,17.93,39.1,3,実買い目_全,12,3-1-4|3-1-6|3-1-2|3-4-1|3-2-1|3-2-4|3-4-6|1-3-2|1-3-5|1-2-3|1-4-3|1-2-5,2-1-3,False,,2760,1200,0,-1200,True
2026-04-05,福岡,12,◎1着固定 2-3着流し（5〜8点）,S,91,0,逃げ狙い,逃げ軸流し,A,24.05,26.3,2,実買い目_全,10,1-3-4|1-2-4|1-3-6|1-4-3|1-4-6|1-2-3|1-2-6|5-1-4|5-1-3|5-1-2,1-2-3,True,1-2-3,370,1000,370,-630,True
