日付,会場,レース番号,戦略,レースランク,レーススコア,見送り推奨,3択verdict,シナリオ種別,展開パターン,脅威合計,1号艇脆弱性,最大脅威艇,買い目ソース,生成点数,買い目リスト,実結果,的中,的中買い目,払戻金,投資額,回収額,収支,結果データあり
2025-09-05,下関,12,◎1着固定 2-3着流し（5〜8点）,S,100,0,逃げ狙い,逃げ軸流し,A,18.07,23.0,3,実買い目_全,9,1-3-4|1-3-2|1-2-4|1-2-3|1-4-3|1-4-2|4-1-3|4-1-2|4-1-5,1-6-5,False,,6680,900,0,-900,True
2025-09-05,下関,11,◎1着固定 2-3着流し（5〜8点）,S,98,0,逃げ狙い,逃げ軸流し,A,20.21,25.4,3,実買い目_全,10,1-3-2|1-2-5|1-3-5|1-2-6|1-3-6|1-5-2|1-5-6|3-1-2|3-1-5|3-1-4,1-2-3,False,,1810,1000,0,-1000,True
2025-07-29,尼崎,6,◎1着固定 2-3着流し（5〜8点）,S,80,0,逃げ狙い,逃げ軸流し,A,10.92,32.1,3,実買い目_全,9,1-3-4|1-3-2|1-2-4|1-2-3|1-4-2|1-4-3|5-1-4|5-1-3|5-1-2,1-3-4,True,1-3-4,620,900,620,-280,True
2025-07-29,尼崎,5,◎-○軸 3着3〜4艇流し（10〜15点）,A,60,0,両建て推奨,主役軸流し,B,19.84,31.0,3,実買い目_全,12,3-1-4|3-1-5|3-1-6|3-4-1|3-2-1|3-4-5|3-2-4|1-3-4|1-3-5|1-5-4|1-5-3|1-2-4,4-1-5,False,,3140,1200,0,-1200,True
2025-07-29,尼崎,4,◎1着固定 2-3着流し（5〜8点）,S,82,0,逃げ狙い,逃げ軸流し,A,15.84,30.7,2,実買い目_全,9,1-2-4|1-2-3|1-3-4|1-3-2|1-4-2|1-4-3|2-1-4|2-1-3|2-1-5,1-3-2,True,1-3-2,980,900,980,80,True
2025-07-29,尼崎,3,◎1着固定 2-3着流し（5〜8点）,S,82,0,逃げ狙い,逃げ軸流し,A,11.68,36.9,2,実買い目_全,9,1-2-3|1-3-4|1-3-2|1-2-4|1-4-3|1-4-2|4-1-3|5-1-2|6-1-2,4-3-5,False,,3750,900,0,-900,True
2026-01-01,児島,6,◎-○軸 3着3〜4艇流し（10〜15点）,A,74,0,逃げ狙い,逃げ軸流し,A,19.9,26.0,4,実買い目_全,10,1-2-4|1-2-6|1-4-6|1-2-3|1-4-3|1-3-4|1-3-6|4-1-3|4-1-2|4-1-5,1-4-6,True,1-4-6,920,1000,920,-80,True
2026-01-01,児島,5,◎-○軸 3着3〜4艇流し（10〜15点）,A,76,0,逃げ狙い,逃げ軸流し,A,18.92,29.9,5,実買い目_全,10,1-3-5|1-2-5|1-3-2|1-3-4|1-2-4|1-5-2|1-5-4|5-1-3|5-1-4|5-1-2,1-3-5,True,1-3-5,550,1000,550,-450,True
2025-07-09,若松,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,73,0,逃げ狙い,逃げ軸流し,A,9.94,35.1,4,実買い目_全,9,1-3-4|1-2-4|1-4-2|1-3-2|1-4-3|1-2-3|4-1-3|4-1-2|6-1-2,4-2-6,False,,8850,900,0,-900,True
2025-07-09,若松,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,77,0,逃げ狙い,荒れ広め,D,14.8,30.9,3,実買い目_全,12,4-5-1|5-6-3|2-1-3|5-1-6|4-5-6|4-1-5|5-6-1|1-3-2|1-2-3|1-3-4|1-2-4|1-4-2,3-1-6,False,,1080,1200,0,-1200,True
2025-09-06,下関,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,60,0,両建て推奨,主役軸流し,B,19.25,42.7,5,実買い目_全,12,2-1-3|2-1-4|2-1-5|2-3-1|2-4-1|2-4-3|2-3-4|1-2-5|1-3-5|1-2-4|1-3-4|1-3-2,1-4-6,False,,6340,1200,0,-1200,True
2025-09-06,下関,2,◎○△フォーメーション（15〜20点）,B,58,0,両建て推奨,逃げ軸流し,A,15.49,35.1,4,実買い目_全,11,1-3-4|1-2-4|1-3-5|1-3-6|1-2-5|1-2-6|1-4-5|1-4-6|2-1-3|3-1-5|2-1-5,4-2-6,False,,7620,1100,0,-1100,True
2025-09-06,下関,1,◎1着固定 2-3着流し（5〜8点）,S,90,0,逃げ狙い,逃げ軸流し,A,10.94,28.0,3,実買い目_全,9,1-2-3|1-3-4|1-3-2|1-2-4|1-4-3|1-4-2|3-1-2|3-1-4|6-1-2,1-2-3,True,1-2-3,580,900,580,-320,True
2026-02-16,蒲郡,12,◎-○軸 3着3〜4艇流し（10〜15点）,A,78,0,逃げ狙い,荒れ広め,D,25.47,30.8,3,実買い目_全,12,5-1-6|5-6-1|6-1-4|6-1-3|2-1-4|2-1-3|6-4-1|1-2-5|1-3-5|1-2-4|1-3-2|1-3-4,1-5-2,False,,3340,1200,0,-1200,True
2025-08-14,津,1,◎1着固定 2-3着流し（5〜8点）,S,95,0,逃げ狙い,逃げ軸流し,A,15.33,24.4,3,実買い目_全,10,1-3-5|1-3-2|1-3-4|1-2-5|1-2-4|1-4-5|1-4-2|3-1-5|3-1-2|3-1-4,1-3-2,True,1-3-2,950,1000,950,-50,True
2025-08-13,津,12,◎1着固定 2-3着流し（5〜8点）,S,85,0,逃げ狙い,逃げ軸流し,A,24.44,30.4,3,実買い目_全,10,1-3-4|1-2-4|1-3-5|1-2-5|1-2-3|1-4-5|1-4-3|2-1-3|2-1-5|2-1-4,1-2-5,True,1-2-5,2140,1000,2140,1140,True
2026-02-14,徳山,10,◎-○軸 3着3〜4艇流し（10〜15点）,A,75,0,逃げ狙い,主役軸流し,B,28.03,35.3,2,実買い目_全,12,2-3-4|2-3-5|2-4-3|2-3-6|2-4-5|2-5-4|2-4-6|1-2-4|1-2-3|1-3-2|1-3-4|1-4-2,4-3-5,False,,16220,1200,0,-1200,True
2026-02-14,徳山,9,◎-○軸 3着3〜4艇流し（10〜15点）,A,70,0,逃げ狙い,主役軸流し,B,16.33,33.1,3,実買い目_全,12,3-4-6|3-5-6|3-4-5|3-5-4|3-4-1|3-6-4|3-6-5|1-3-5|1-3-6|1-2-5|1-2-6|1-2-3,1-5-2,False,,2370,1200,0,-1200,True
2026-03-12,浜名湖,7,大荒れ。見送り推奨,D,31,0,両建て推奨,主役軸流し,B,12.55,33.7,3,実買い目_全,12,2-1-3|2-1-4|2-3-1|2-3-4|2-4-1|2-4-3|2-1-6|1-2-4|1-2-3|6-1-3|1-3-2|5-1-6,3-2-6,False,,1130,1200,0,-1200,True
2025-07-29,尼崎,8,◎1着固定 2-3着流し（5〜8点）,S,86,0,逃げ狙い,逃げ軸流し,A,19.83,25.7,2,実買い目_全,10,1-2-3|1-2-5|1-3-2|1-4-2|1-4-3|1-3-5|1-4-5|2-1-4|2-1-3|2-1-5,1-4-5,True,1-4-5,8190,1000,8190,7190,True
2025-07-29,尼崎,7,◎-○軸 3着3〜4艇流し（10〜15点）,A,76,0,逃げ狙い,逃げ軸流し,A,13.86,29.9,5,実買い目_全,10,1-2-5|1-2-4|1-5-4|1-3-5|1-3-4|1-5-2|1-3-2|2-1-4|2-1-5|6-1-4,1-3-5,True,1-3-5,880,1000,880,-120,True
2025-07-09,若松,1,◎-○軸 3着3〜4艇流し（10〜15点）,A,72,0,逃げ狙い,逃げ軸流し,A,9.65,34.3,3,実買い目_全,10,1-2-3|1-3-5|1-3-4|1-2-5|1-2-4|1-4-3|1-4-5|3-1-2|3-1-4|3-1-5,3-1-2,True,3-1-2,3630,1000,3630,2630,True
2026-01-01,児島,4,◎1着固定 2-3着流し（5〜8点）,S,83,0,逃げ狙い,逃げ軸流し,A,18.75,30.7,6,実買い目_全,10,1-3-4|1-3-6|1-2-4|1-4-6|1-2-6|1-4-3|1-2-3|3-1-4|3-1-6|3-1-2,1-3-6,True,1-3-6,840,1000,840,-160,True
2026-01-01,児島,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,72,0,逃げ狙い,逃げ軸流し,A,17.53,31.4,3,実買い目_全,10,1-2-6|1-3-6|1-3-2|1-2-5|1-3-5|1-6-2|1-6-5|2-1-6|6-1-3|2-1-4,5-1-6,False,,9670,1000,0,-1000,True
2025-07-09,若松,6,◎-○軸 3着3〜4艇流し（10〜15点）,A,64,0,両建て推奨,荒れ広め,D,20.74,40.1,4,実買い目_全,12,3-1-5|4-5-1|4-5-6|2-1-5|3-2-5|2-1-3|6-1-2|1-4-5|1-4-2|1-2-4|1-2-5|1-5-4,1-4-3,False,,7320,1200,0,-1200,True
2025-07-29,尼崎,11,◎1着固定 2-3着流し（5〜8点）,S,82,0,逃げ狙い,逃げ軸流し,A,22.26,29.2,4,実買い目_全,10,1-3-4|1-2-4|1-2-3|1-3-5|1-4-3|1-2-5|1-4-5|2-1-4|2-1-3|2-1-5,1-6-4,False,,7950,1000,0,-1000,True
2026-02-14,徳山,6,◎-○軸 3着3〜4艇流し（10〜15点）,A,68,0,逃げ狙い,逃げ軸流し,A,20.33,26.8,3,実買い目_全,10,1-3-5|1-3-4|1-2-5|1-3-2|1-2-4|1-4-5|1-4-2|2-1-4|2-1-3|2-1-5,2-4-3,False,,4710,1000,0,-1000,True
2026-02-14,徳山,5,◎-○軸 3着3〜4艇流し（10〜15点）,A,68,0,逃げ狙い,逃げ軸流し,A,13.17,34.6,3,実買い目_全,10,1-3-6|1-3-5|1-4-6|1-4-3|1-5-6|1-4-5|1-5-3|3-1-5|3-1-6|3-1-4,3-6-5,False,,5700,1000,0,-1000,True
2025-08-14,津,4,◎-○軸 3着3〜4艇流し（10〜15点）,A,61,0,両建て推奨,逃げ軸流し,A,23.75,25.7,4,実買い目_全,9,1-3-4|1-2-4|1-2-3|1-3-2|1-4-3|1-4-2|3-1-4|5-1-2|6-1-2,1-2-3,True,1-2-3,670,900,670,-230,True
2026-02-16,蒲郡,9,◎-○軸 3着3〜4艇流し（10〜15点）,A,63,0,両建て推奨,逃げ軸流し,A,16.72,31.4,4,実買い目_全,9,1-3-4|1-2-4|1-4-2|1-3-2|1-4-3|1-2-3|4-1-3|2-1-3|4-1-2,3-5-2,False,,24300,900,0,-900,True
2026-02-16,蒲郡,8,◎1着固定 2-3着流し（5〜8点）,S,98,0,逃げ狙い,逃げ軸流し,A,13.79,26.2,3,実買い目_全,10,1-3-2|1-2-3|1-2-5|1-3-5|1-4-2|1-4-3|1-4-5|2-1-3|2-1-5|2-1-4,4-1-3,False,,2730,1000,0,-1000,True
2025-09-06,下関,6,◎○△フォーメーション（15〜20点）,B,55,0,両建て推奨,主役軸流し,B,24.4,37.7,2,実買い目_全,12,6-1-2|6-1-4|6-2-1|6-1-3|6-4-1|6-4-2|6-2-4|1-2-5|1-3-5|1-2-4|1-3-4|1-5-4,2-3-1,False,,8710,1200,0,-1200,True
2025-09-06,下関,5,◎1着固定 2-3着流し（5〜8点）,S,94,0,逃げ狙い,逃げ軸流し,A,12.58,25.4,2,実買い目_全,10,1-3-4|1-3-5|1-2-4|1-4-5|1-2-5|1-4-3|1-2-3|5-1-4|5-1-3|5-1-2,1-5-2,False,,1510,1000,0,-1000,True
2025-09-06,下関,4,◎-○軸 3着3〜4艇流し（10〜15点）,A,60,0,両建て推奨,逃げ軸流し,A,19.12,42.3,2,実買い目_全,9,1-2-3|1-2-5|1-3-5|1-3-2|1-5-3|1-5-2|5-1-6|5-6-1|4-5-6,2-1-6,False,,5070,900,0,-900,True
2025-07-29,尼崎,10,◎-○軸 3着3〜4艇流し（10〜15点）,A,65,0,逃げ狙い,主役軸流し,B,26.25,40.0,2,実買い目_全,12,2-1-4|2-1-3|2-1-5|2-3-1|2-4-1|2-3-4|2-4-3|1-2-4|1-2-5|1-3-4|1-3-2|1-3-5,1-3-4,True,1-3-4,1080,1200,1080,-120,True
2025-07-29,尼崎,9,◎-○軸 3着3〜4艇流し（10〜15点）,A,63,0,両建て推奨,荒れ広め,D,21.36,35.9,3,実買い目_全,12,6-1-4|6-1-3|5-1-3|5-1-4|2-3-4|6-4-1|2-4-5|1-2-4|1-3-4|1-2-3|2-1-4|1-3-2,4-1-2,False,,4320,1200,0,-1200,True
2026-03-12,浜名湖,8,◎-○軸 3着3〜4艇流し（10〜15点）,A,77,0,逃げ狙い,逃げ軸流し,A,13.05,25.9,4,実買い目_全,10,1-4-2|1-4-5|1-2-4|1-3-4|1-2-5|1-3-2|1-3-5|4-1-5|4-1-2|4-1-3,1-4-5,True,1-4-5,1030,1000,1030,30,True
2025-07-09,若松,5,◎1着固定 2-3着流し（5〜8点）,S,87,0,逃げ狙い,逃げ軸流し,A,11.71,25.6,4,実買い目_全,9,1-3-4|1-2-4|1-3-2|1-2-3|1-4-2|1-4-3|4-1-3|4-1-2|4-1-5,1-3-4,True,1-3-4,2750,900,2750,1850,True
2025-07-09,若松,4,◎-○軸 3着3〜4艇流し（10〜15点）,A,69,0,逃げ狙い,逃げ軸流し,A,23.83,26.8,2,実買い目_全,9,1-2-4|1-2-3|1-3-4|1-3-2|1-4-3|1-4-2|2-1-4|2-1-3|2-1-5,1-2-4,True,1-2-4,580,900,580,-320,True
2026-01-01,児島,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,70,0,逃げ狙い,逃げ軸流し,A,14.36,31.1,2,実買い目_全,10,1-2-4|1-3-4|1-3-2|1-2-6|1-4-2|1-3-6|1-4-6|4-1-3|4-1-2|4-1-5,4-5-3,False,,14680,1000,0,-1000,True
2026-01-01,児島,1,◎-○軸 3着3〜4艇流し（10〜15点）,A,76,0,逃げ狙い,逃げ軸流し,A,21.42,32.8,2,実買い目_全,11,1-3-4|1-2-4|1-3-5|1-2-5|1-3-6|1-2-6|1-4-5|1-4-6|3-1-4|3-1-2|6-1-2,4-3-1,False,,40290,1100,0,-1100,True
2025-12-31,児島,12,◎1着固定 2-3着流し（5〜8点）,S,88,0,逃げ狙い,逃げ軸流し,A,19.03,20.5,2,実買い目_全,10,1-2-4|1-2-5|1-3-4|1-3-2|1-3-5|1-4-2|1-4-5|4-1-2|4-1-3|4-1-5,1-2-4,True,1-2-4,450,1000,450,-550,True
2025-08-14,津,3,◎-○軸 3着3〜4艇流し（10〜15点）,A,71,0,逃げ狙い,逃げ軸流し,A,22.48,34.1,2,実買い目_全,10,1-2-5|1-2-3|1-3-5|1-2-4|1-3-4|1-4-5|1-4-3|3-1-4|3-1-2|3-1-5,2-4-1,False,,2440,1000,0,-1000,True
2026-02-14,徳山,4,◎1着固定 2-3着流し（5〜8点）,S,89,0,逃げ狙い,逃げ軸流し,A,16.82,24.3,3,実買い目_全,10,1-2-3|1-2-4|1-4-3|1-4-2|1-5-3|1-5-4|1-5-2|2-1-4|2-1-3|2-1-6,1-6-4,False,,4240,1000,0,-1000,True
2026-02-14,徳山,3,◎1着固定 2-3着流し（5〜8点）,S,82,0,逃げ狙い,逃げ軸流し,A,14.69,26.6,2,実買い目_全,9,1-3-5|1-2-5|1-3-2|1-2-3|1-5-2|1-5-3|5-1-3|5-1-4|5-1-2,1-3-2,True,1-3-2,780,900,780,-120,True
2026-02-16,蒲郡,5,◎1着固定 2-3着流し（5〜8点）,S,91,0,逃げ狙い,逃げ軸流し,A,13.69,28.5,2,実買い目_全,9,1-2-4|1-3-4|1-4-2|1-2-3|1-3-2|1-4-3|2-1-4|2-1-3|2-1-5,1-4-2,True,1-4-2,770,900,770,-130,True
2025-09-06,下関,8,◎1着固定 2-3着流し（5〜8点）,S,84,0,逃げ狙い,逃げ軸流し,A,20.7,29.7,4,実買い目_全,9,1-3-4|1-2-4|1-4-3|1-2-3|1-3-2|1-4-2|4-1-3|4-1-2|4-1-5,3-4-1,False,,3000,900,0,-900,True
2025-09-06,下関,7,◎○△フォーメーション（15〜20点）,B,48,0,両建て推奨,荒れ広め,D,15.09,44.8,3,実買い目_全,12,3-1-4|6-1-2|6-1-4|6-2-1|6-4-1|5-1-2|3-1-5|1-3-4|1-3-5|1-2-3|1-2-4|1-2-5,3-6-1,False,,29890,1200,0,-1200,True
2026-02-16,蒲郡,10,◎-○軸 3着3〜4艇流し（10〜15点）,A,73,0,逃げ狙い,逃げ軸流し,A,11.93,29.7,4,実買い目_全,9,1-2-4|1-2-3|1-3-4|1-3-2|1-4-3|1-4-2|2-1-4|2-1-3|2-1-5,1-2-4,True,1-2-4,700,900,700,-200,True
2026-02-14,徳山,7,◎-○軸 3着3〜4艇流し（10〜15点）,A,62,0,両建て推奨,逃げ軸流し,A,8.42,39.2,6,実買い目_全,11,1-2-4|1-2-6|1-3-2|1-3-4|1-3-6|1-5-2|1-5-4|1-5-6|5-1-6|5-6-1|6-1-4,2-1-3,False,,920,1100,0,-1100,True
2025-12-31,児島,11,◎-○軸 3着3〜4艇流し（10〜15点）,A,77,0,逃げ狙い,逃げ軸流し,A,18.72,27.6,3,実買い目_全,9,1-3-5|1-4-5|1-3-4|1-4-3|1-5-4|1-5-3|5-1-4|5-1-3|5-1-6,1-5-3,True,1-5-3,730,900,730,-170,True
2025-12-31,児島,10,◎-○軸 3着3〜4艇流し（10〜15点）,A,62,0,両建て推奨,逃げ軸流し,A,15.74,29.1,2,実買い目_全,10,1-2-4|1-2-6|1-4-2|1-3-4|1-4-6|1-3-2|1-3-6|5-1-6|2-1-4|6-1-4,1-2-4,True,1-2-4,2800,1000,2800,1800,True
2025-12-31,児島,9,◎-○軸 3着3〜4艇流し（10〜15点）,A,70,0,逃げ狙い,逃げ軸流し,A,15.93,31.4,2,実買い目_全,11,1-3-5|1-2-5|1-3-6|1-2-3|1-2-6|1-4-5|1-4-3|1-4-6|5-1-6|5-6-1|6-1-3,2-4-1,False,,4410,1100,0,-1100,True
2025-07-09,若松,8,◎1着固定 2-3着流し（5〜8点）,S,100,0,逃げ狙い,逃げ軸流し,A,10.47,24.4,2,実買い目_全,9,1-3-4|1-2-4|1-2-3|1-3-2|1-4-3|1-4-2|4-1-3|4-1-2|4-1-5,1-3-2,True,1-3-2,440,900,440,-460,True
2026-03-12,浜名湖,5,荒れ傾向。高配当狙いか見送り,C,41,0,両建て推奨,荒れ広め,D,16.69,31.3,4,実買い目_全,12,6-1-3|6-1-4|2-1-3|6-4-1|6-3-1|5-1-3|2-1-4|1-2-4|1-2-5|1-3-4|1-3-2|1-3-5,2-5-1,False,,5420,1200,0,-1200,True
2026-03-12,浜名湖,4,◎1着固定 2-3着流し（5〜8点）,S,93,0,逃げ狙い,逃げ軸流し,A,16.83,26.1,2,実買い目_全,10,1-2-5|1-2-3|1-2-4|1-3-5|1-3-4|1-5-3|1-5-4|2-1-5|2-1-4|2-1-3,1-2-5,True,1-2-5,630,1000,630,-370,True
2025-07-31,尼崎,2,◎-○軸 3着3〜4艇流し（10〜15点）,A,69,0,逃げ狙い,荒れ広め,D,17.01,37.6,2,実買い目_全,12,6-1-2|2-1-4|3-4-5|2-1-5|6-1-4|3-5-4|6-2-1|1-2-3|1-2-5|1-3-2|1-3-5|1-4-3,1-5-2,False,,5780,1200,0,-1200,True
2025-07-31,尼崎,1,◎1着固定 2-3着流し（5〜8点）,S,98,0,逃げ狙い,逃げ軸流し,A,12.43,30.7,2,実買い目_全,9,1-2-4|1-2-3|1-3-2|1-3-4|1-4-2|1-4-3|4-1-2|4-1-3|4-1-5,1-3-2,True,1-3-2,4060,900,4060,3160,True
2026-02-14,徳山,2,◎1着固定 2-3着流し（5〜8点）,S,88,0,逃げ狙い,逃げ軸流し,A,24.15,30.6,2,実買い目_全,10,1-3-4|1-2-4|1-3-5|1-2-5|1-2-3|1-4-5|1-4-3|4-1-3|4-1-5|4-1-2,1-2-3,True,1-2-3,920,1000,920,-80,True
2026-02-14,徳山,1,◎1着固定 2-3着流し（5〜8点）,S,98,0,逃げ狙い,逃げ軸流し,A,14.42,27.9,2,実買い目_全,9,1-3-5|1-3-2|1-2-5|1-2-3|1-5-3|1-5-2|5-1-3|5-1-4|5-1-2,1-3-5,True,1-3-5,660,900,660,-240,True
