venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
edogawa,2026-04-27,8,6,田邉 亮蔵,,2026-05-15 01:11:20,61,31.8,49.4,23,飯島 昌弘
edogawa,2026-04-27,9,1,小原 聡将,,2026-05-15 01:11:25,45,28.2,42.2,39,中田 友也
edogawa,2026-04-27,9,2,池田 雷太,,2026-05-15 01:11:25,69,43.8,59.9,3,澤 大介
edogawa,2026-04-27,9,3,宇田川 信一,,2026-05-15 01:11:25,15,28.2,44.8,38,秋田 健太郎
edogawa,2026-04-27,9,4,大塚 雅治,,2026-05-15 01:11:25,52,30.6,44.5,33,小野 達哉
edogawa,2026-04-27,9,5,近藤 雄一郎,,2026-05-15 01:11:25,35,27.0,44.7,45,福田 翔吾
edogawa,2026-04-27,9,6,前沢 丈史,,2026-05-15 01:11:25,49,37.3,51.5,9,片岡 秀樹
edogawa,2026-04-27,10,1,伏田 裕隆,,2026-05-15 01:11:31,14,31.2,44.7,30,柳橋 宏紀
edogawa,2026-04-27,10,2,寺島 吉彦,,2026-05-15 01:11:31,55,37.5,58.5,8,吉川 勇作
edogawa,2026-04-27,10,3,荒井 翔伍,,2026-05-15 01:11:31,34,31.8,45.1,24,小坂 尚哉
edogawa,2026-04-27,10,4,磯村 匠,,2026-05-15 01:11:31,71,40.1,52.2,5,中 亮太
edogawa,2026-04-27,10,5,飯山 泰,,2026-05-15 01:11:31,59,33.9,49.4,17,上原 健次郎
edogawa,2026-04-27,10,6,齋藤 勇,,2026-05-15 01:11:31,64,27.6,44.0,42,松崎 祐太郎
edogawa,2026-04-27,11,1,桑島 和宏,,2026-05-15 01:11:36,48,42.8,55.0,4,島村 隆幸
edogawa,2026-04-27,11,2,山本 英志,,2026-05-15 01:11:36,31,39.3,58.2,6,米田 隆弘
edogawa,2026-04-27,11,3,石渡 翔一郎,,2026-05-15 01:11:36,63,34.2,52.7,16,郷原 章平
edogawa,2026-04-27,11,4,山田 亮太,,2026-05-15 01:11:36,58,31.3,47.6,29,藤山 翔大
edogawa,2026-04-27,11,5,澤崎 雄哉,,2026-05-15 01:11:36,70,26.2,41.6,46,松井 貫太
edogawa,2026-04-27,11,6,桑原 将光,,2026-05-15 01:11:36,18,34.7,51.2,14,栗原 直也
edogawa,2026-04-27,12,1,戸塚 邦好,,2026-05-15 01:11:41,54,32.1,47.1,22,松田 淳平
edogawa,2026-04-27,12,2,三品 隆浩,,2026-05-15 01:11:41,38,32.7,48.7,21,妹尾 忠幸
edogawa,2026-04-27,12,3,加藤 政彦,,2026-05-15 01:11:41,60,35.5,54.8,12,黄金井 力良
edogawa,2026-04-27,12,4,尾道 佳諭,,2026-05-15 01:11:41,50,27.2,46.9,44,西尾 亮輔
edogawa,2026-04-27,12,5,永田 秀二,,2026-05-15 01:11:41,32,24.6,37.9,48,鶴田 勇雄
edogawa,2026-04-27,12,6,尾形 栄治,,2026-05-15 01:11:41,66,36.8,52.7,11,堀越 雄貴
