venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
edogawa,2026-04-28,1,1,齋藤 勇,,2026-05-15 01:11:47,64,27.4,43.6,43,松崎 祐太郎
edogawa,2026-04-28,1,2,宇田川 信一,,2026-05-15 01:11:47,15,28.1,44.6,40,秋田 健太郎
edogawa,2026-04-28,1,3,大塚 康雅,,2026-05-15 01:11:47,30,23.0,36.4,49,佐藤 大佑
edogawa,2026-04-28,1,4,坂本 一真,,2026-05-15 01:11:47,41,34.7,48.0,14,石渡 翔一郎
edogawa,2026-04-28,1,5,奥平 拓也,,2026-05-15 01:11:47,17,30.0,44.7,35,鈴木 章司
edogawa,2026-04-28,1,6,磯村 匠,,2026-05-15 01:11:47,71,39.7,51.8,5,中 亮太
edogawa,2026-04-28,2,1,渡辺 豊,,2026-05-15 01:11:53,22,32.8,45.5,20,三嶌 誠司
edogawa,2026-04-28,2,2,大塚 雅治,,2026-05-15 01:11:53,52,30.3,44.6,33,小野 達哉
edogawa,2026-04-28,2,3,山本 英志,,2026-05-15 01:11:53,31,39.6,58.3,6,米田 隆弘
edogawa,2026-04-28,2,4,三品 隆浩,,2026-05-15 01:11:53,38,32.6,48.9,21,妹尾 忠幸
edogawa,2026-04-28,2,5,高橋 勲,,2026-05-15 01:11:53,28,27.4,46.6,42,幸田 智裕
edogawa,2026-04-28,2,6,浅井 翼,,2026-05-15 01:11:53,40,36.9,48.5,10,高橋 英之
edogawa,2026-04-28,3,1,佐藤 右京,,2026-05-15 01:11:58,51,31.2,46.2,29,田川 大貴
edogawa,2026-04-28,3,2,山田 亮太,,2026-05-15 01:11:58,58,31.1,47.2,30,藤山 翔大
edogawa,2026-04-28,3,3,品田 直樹,,2026-05-15 01:11:58,47,28.8,51.9,36,坪井 爽佑
edogawa,2026-04-28,3,4,近藤 雄一郎,,2026-05-15 01:11:58,35,27.3,45.0,44,福田 翔吾
edogawa,2026-04-28,3,5,早川 颯太,,2026-05-15 01:11:58,39,27.6,45.7,41,宇田川 信一
edogawa,2026-04-28,3,6,内山 文典,,2026-05-15 01:11:58,36,35.3,54.2,13,増田 進
edogawa,2026-04-28,4,1,澤崎 雄哉,,2026-05-15 01:12:03,70,26.4,42.1,47,松井 貫太
edogawa,2026-04-28,4,2,高橋 直哉,,2026-05-15 01:12:03,24,28.3,41.3,39,金山 立樹
edogawa,2026-04-28,4,3,上村 宏太,,2026-05-15 01:12:03,37,31.3,49.0,28,山道 諄也
edogawa,2026-04-28,4,4,渡邉 雄朗,,2026-05-15 01:12:03,25,26.5,40.6,46,山口 亮
edogawa,2026-04-28,4,5,荒井 翔伍,,2026-05-15 01:12:03,34,31.6,45.3,24,小坂 尚哉
edogawa,2026-04-28,4,6,中島 航,,2026-05-15 01:12:03,12,31.4,48.4,27,竹之内 極
edogawa,2026-04-28,5,1,桑原 将光,,2026-05-15 01:12:08,18,34.6,51.0,15,栗原 直也
edogawa,2026-04-28,5,2,森作 雄大,,2026-05-15 01:12:08,27,33.5,47.0,19,岩橋 裕馬
edogawa,2026-04-28,5,3,多田 有佑,,2026-05-15 01:12:08,56,44.5,56.8,2,藤原 仙二
edogawa,2026-04-28,5,4,本吉 正樹,,2026-05-15 01:12:08,46,30.5,46.6,32,小川 竜太朗
edogawa,2026-04-28,5,5,坂本 一真,,2026-05-15 01:12:08,41,34.7,48.0,14,石渡 翔一郎
