venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
edogawa,2026-04-26,1,1,藤原 仙二,,2026-05-15 01:09:43,56,45.1,57.6,2,鋤柄 貴俊
edogawa,2026-04-26,1,2,栗原 直也,,2026-05-15 01:09:43,18,34.6,50.8,15,齋藤 勇
edogawa,2026-04-26,1,3,妹尾 忠幸,,2026-05-15 01:09:43,38,32.1,48.2,22,
edogawa,2026-04-26,1,4,山道 諄也,,2026-05-15 01:09:43,37,31.7,48.8,27,花本 剛
edogawa,2026-04-26,1,5,秋田 健太郎,,2026-05-15 01:09:43,15,28.1,44.8,38,三角 哲男
edogawa,2026-04-26,1,6,田川 大貴,,2026-05-15 01:09:43,51,31.6,46.8,28,照屋 厚仁
edogawa,2026-04-26,2,1,上之 晃弘,,2026-05-15 01:09:47,67,31.1,48.7,29,仲本 舜
edogawa,2026-04-26,2,2,鈴木 章司,,2026-05-15 01:09:47,17,30.3,44.9,34,酒井 俊弘
edogawa,2026-04-26,2,3,金山 立樹,,2026-05-15 01:09:47,24,27.8,41.0,40,山本 景士郎
edogawa,2026-04-26,2,4,米田 隆弘,,2026-05-15 01:09:47,31,38.8,57.8,6,
edogawa,2026-04-26,2,5,西尾 亮輔,,2026-05-15 01:09:47,50,27.3,46.6,44,小野 京平
edogawa,2026-04-26,2,6,佐藤 大佑,,2026-05-15 01:09:47,30,22.9,36.4,49,
edogawa,2026-04-26,3,1,小川 竜太朗,,2026-05-15 01:09:52,46,30.9,46.4,32,市橋 卓士
edogawa,2026-04-26,3,2,増田 進,,2026-05-15 01:09:52,36,35.3,54.5,12,東 潤樹
edogawa,2026-04-26,3,3,福田 翔吾,,2026-05-15 01:09:52,35,26.8,44.7,45,野田 昇吾
edogawa,2026-04-26,3,4,鶴田 勇雄,,2026-05-15 01:09:52,32,23.9,37.4,48,大久保信一郎
edogawa,2026-04-26,3,5,中 亮太,,2026-05-15 01:09:52,71,40.3,52.5,5,萩原 知哉
edogawa,2026-04-26,3,6,高橋 英之,,2026-05-15 01:09:52,40,37.4,49.2,9,早川 颯太
edogawa,2026-04-26,4,1,郷原 章平,,2026-05-15 01:09:57,63,33.9,52.5,16,松本 庸平
edogawa,2026-04-26,4,2,坪井 爽佑,,2026-05-15 01:09:57,47,28.8,51.7,36,坂井 滉哉
edogawa,2026-04-26,4,3,岩橋 裕馬,,2026-05-15 01:09:57,27,33.5,46.8,18,岡 祐臣
edogawa,2026-04-26,4,4,小坂 尚哉,,2026-05-15 01:09:57,34,32.0,45.0,23,
edogawa,2026-04-26,4,5,三嶌 誠司,,2026-05-15 01:09:57,22,33.2,45.3,20,鈴木 猛
edogawa,2026-04-26,4,6,川合 理司,,2026-05-15 01:09:57,62,38.7,53.5,7,植田 太一
edogawa,2026-04-26,5,1,堀越 雄貴,,2026-05-15 01:10:03,66,36.5,52.5,11,尾形 栄治
edogawa,2026-04-26,5,2,武田 正紀,,2026-05-15 01:10:03,16,30.0,44.2,35,大森 翼
edogawa,2026-04-26,5,3,中田 友也,,2026-05-15 01:10:03,45,27.5,41.7,43,佐藤 謙史朗
edogawa,2026-04-26,5,4,松崎 祐太郎,,2026-05-15 01:10:03,64,27.7,44.2,41,
edogawa,2026-04-26,5,5,山道 諄也,,2026-05-15 01:10:03,37,31.7,48.8,27,花本 剛
edogawa,2026-04-26,5,6,宇田川 信一,,2026-05-15 01:10:03,39,28.0,46.3,39,藤本 元輝
edogawa,2026-04-26,6,1,藤山 翔大,,2026-05-15 01:10:07,58,31.0,47.3,30,宮崎 心之介
edogawa,2026-04-26,6,2,石渡 翔一郎,,2026-05-15 01:10:07,41,34.7,48.2,14,森定 晃史
edogawa,2026-04-26,6,3,竹之内 極,,2026-05-15 01:10:07,12,31.8,48.6,26,
edogawa,2026-04-26,6,4,金子 怜央,,2026-05-15 01:10:07,21,31.9,46.1,24,芦澤 望
edogawa,2026-04-26,6,5,小野 達哉,,2026-05-15 01:10:07,52,30.7,44.7,33,
edogawa,2026-04-26,6,6,妹尾 忠幸,,2026-05-15 01:10:07,38,32.1,48.2,22,
edogawa,2026-04-26,7,1,澤 大介,,2026-05-15 01:10:12,69,44.0,60.2,3,上田 隆章
edogawa,2026-04-26,7,2,佐藤 大佑,,2026-05-15 01:10:12,30,22.9,36.4,49,
edogawa,2026-04-26,7,3,山口 亮,,2026-05-15 01:10:12,25,26.0,40.3,46,井上 慧人
edogawa,2026-04-26,7,4,幸田 智裕,,2026-05-15 01:10:12,28,27.7,46.3,42,中村 裕将
edogawa,2026-04-26,7,5,栗原 直也,,2026-05-15 01:10:12,18,34.6,50.8,15,齋藤 勇
edogawa,2026-04-26,7,6,高橋 英之,,2026-05-15 01:10:12,40,37.4,49.2,9,早川 颯太
edogawa,2026-04-26,8,1,飯島 昌弘,,2026-05-15 01:10:17,61,31.9,49.6,25,金子 猛志
edogawa,2026-04-26,8,2,小坂 尚哉,,2026-05-15 01:10:17,34,32.0,45.0,23,
edogawa,2026-04-26,8,3,小川 竜太朗,,2026-05-15 01:10:17,46,30.9,46.4,32,市橋 卓士
edogawa,2026-04-26,8,4,秋田 健太郎,,2026-05-15 01:10:17,15,28.1,44.8,38,三角 哲男
edogawa,2026-04-26,8,5,米田 隆弘,,2026-05-15 01:10:17,31,38.8,57.8,6,
edogawa,2026-04-26,8,6,船岡 洋一郎,,2026-05-15 01:10:17,13,28.8,40.5,37,木下 虎之輔
edogawa,2026-04-26,9,1,岩橋 裕馬,,2026-05-15 01:10:23,27,33.5,46.8,18,岡 祐臣
edogawa,2026-04-26,9,2,福田 翔吾,,2026-05-15 01:10:23,35,26.8,44.7,45,野田 昇吾
edogawa,2026-04-26,9,3,松井 貫太,,2026-05-15 01:10:23,70,25.9,41.4,47,有山 望
edogawa,2026-04-26,9,4,柳橋 宏紀,,2026-05-15 01:10:23,14,30.9,44.5,31,佐藤 大介
edogawa,2026-04-26,9,5,宇田川 信一,,2026-05-15 01:10:23,39,28.0,46.3,39,藤本 元輝
edogawa,2026-04-26,9,6,金山 立樹,,2026-05-15 01:10:23,24,27.8,41.0,40,山本 景士郎
edogawa,2026-04-26,10,1,鶴田 勇雄,,2026-05-15 01:10:28,32,23.9,37.4,48,大久保信一郎
edogawa,2026-04-26,10,2,三嶌 誠司,,2026-05-15 01:10:28,22,33.2,45.3,20,鈴木 猛
edogawa,2026-04-26,10,3,鈴木 章司,,2026-05-15 01:10:28,17,30.3,44.9,34,酒井 俊弘
edogawa,2026-04-26,10,4,中田 友也,,2026-05-15 01:10:28,45,27.5,41.7,43,佐藤 謙史朗
edogawa,2026-04-26,10,5,吉川 勇作,,2026-05-15 01:10:28,55,37.7,58.8,8,福島 勇樹
edogawa,2026-04-26,10,6,金子 怜央,,2026-05-15 01:10:28,21,31.9,46.1,24,芦澤 望
edogawa,2026-04-26,11,1,黄金井 力良,,2026-05-15 01:10:33,60,35.2,54.6,13,吉川 貴仁
edogawa,2026-04-26,11,2,幸田 智裕,,2026-05-15 01:10:33,28,27.7,46.3,42,中村 裕将
edogawa,2026-04-26,11,3,武田 正紀,,2026-05-15 01:10:33,16,30.0,44.2,35,大森 翼
edogawa,2026-04-26,11,4,増田 進,,2026-05-15 01:10:33,36,35.3,54.5,12,東 潤樹
edogawa,2026-04-26,11,5,坪井 爽佑,,2026-05-15 01:10:33,47,28.8,51.7,36,坂井 滉哉
edogawa,2026-04-26,11,6,石渡 翔一郎,,2026-05-15 01:10:33,41,34.7,48.2,14,森定 晃史
edogawa,2026-04-26,12,1,片岡 秀樹,,2026-05-15 01:10:37,49,37.1,51.3,10,田中 堅
edogawa,2026-04-26,12,2,上原 健次郎,,2026-05-15 01:10:37,59,33.6,49.2,17,
edogawa,2026-04-26,12,3,島村 隆幸,,2026-05-15 01:10:37,48,43.0,55.3,4,中田 元泰
edogawa,2026-04-26,12,4,松田 淳平,,2026-05-15 01:10:37,54,32.2,46.9,21,中野 次郎
edogawa,2026-04-26,12,5,山口 亮,,2026-05-15 01:10:37,25,26.0,40.3,46,井上 慧人
edogawa,2026-04-26,12,6,山下 流心,,2026-05-15 01:10:37,57,33.3,53.8,19,
