venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
edogawa,2026-05-30,1,1,村岡 賢,,2026-05-30 23:10:17,24,12.5,37.5,41,中野 次郎
edogawa,2026-05-30,1,2,吉川 晴人,,2026-05-30 23:10:17,67,0.0,12.5,46,
edogawa,2026-05-30,1,3,桂林 寛,,2026-05-30 23:10:17,37,50.0,78.6,6,井上 一輝
edogawa,2026-05-30,1,4,後藤 陽介,,2026-05-30 23:10:17,22,25.0,31.2,32,森作 雄大
edogawa,2026-05-30,1,5,米本 圭佑,,2026-05-30 23:10:17,14,11.8,29.4,43,佐藤 隆太郎
edogawa,2026-05-30,1,6,田中 勇輔,,2026-05-30 23:10:17,38,26.7,40.0,28,和田 操拓
edogawa,2026-05-30,2,1,香川 陽太,,2026-05-30 23:10:34,50,18.8,31.2,37,荒井 翔伍
edogawa,2026-05-30,2,2,永嶋 裕一,,2026-05-30 23:10:34,27,43.8,68.8,10,向後 龍一
edogawa,2026-05-30,2,3,永井 源,,2026-05-30 23:10:34,32,35.3,47.1,21,濱野 斗馬
edogawa,2026-05-30,2,4,畑 竜生,,2026-05-30 23:10:34,53,25.0,37.5,34,福来 剛
edogawa,2026-05-30,2,5,濱崎 誠,,2026-05-30 23:10:34,56,46.7,66.7,9,高田 明
edogawa,2026-05-30,2,6,西山 育,,2026-05-30 23:10:34,35,20.0,40.0,36,桑島 和宏
edogawa,2026-05-30,3,1,石田 勇斗,,2026-05-30 23:10:51,19,12.5,12.5,40,末永 由楽
edogawa,2026-05-30,3,2,吉武 真也,,2026-05-30 23:10:51,51,7.7,15.4,44,権藤 俊光
edogawa,2026-05-30,3,3,濱本 優一,,2026-05-30 23:10:51,57,31.2,43.8,25,松尾 祭
edogawa,2026-05-30,3,4,外崎 悟,,2026-05-30 23:10:51,28,17.6,70.6,39,酒見 峻介
edogawa,2026-05-30,3,5,加木 郁,,2026-05-30 23:10:51,64,50.0,62.5,7,
edogawa,2026-05-30,3,6,若林 義人,,2026-05-30 23:10:51,55,12.5,18.8,42,栗城 匠
edogawa,2026-05-30,4,1,宮内 直哉,,2026-05-30 23:11:14,33,25.0,31.2,33,平尾 崇典
edogawa,2026-05-30,4,2,角山 雄哉,,2026-05-30 23:11:14,63,5.9,11.8,45,津久井 拓也
edogawa,2026-05-30,4,3,西舘 健,,2026-05-30 23:11:14,45,25.0,43.8,31,小林 泰
edogawa,2026-05-30,4,4,平田 健之佑,,2026-05-30 23:11:14,20,41.7,50.0,13,北野 輝季
edogawa,2026-05-30,4,5,本岡 勝利,,2026-05-30 23:11:14,61,23.5,29.4,35,大池 佑来
edogawa,2026-05-30,4,6,一色 凌雅,,2026-05-30 23:11:14,71,37.5,62.5,17,
edogawa,2026-05-30,5,1,岩津 徹郎,,2026-05-30 23:11:32,49,53.3,73.3,3,佐藤 悠
edogawa,2026-05-30,5,2,柴田 朋哉,,2026-05-30 23:11:32,26,43.8,56.2,12,金田 智博
edogawa,2026-05-30,5,3,柏野 幸二,,2026-05-30 23:11:32,41,43.8,50.0,11,永田 秀二
edogawa,2026-05-30,5,4,横田 海人,,2026-05-30 23:11:32,58,25.0,43.8,30,湯川 浩司
edogawa,2026-05-30,5,5,吉田 宗弘,,2026-05-30 23:11:32,60,17.6,47.1,38,杉山 正樹
edogawa,2026-05-30,5,6,北山 康介,,2026-05-30 23:11:32,23,37.5,43.8,14,是澤 孝宏
edogawa,2026-05-30,6,1,宇土 泰就,,2026-05-30 23:11:51,16,35.3,58.8,20,西岡 顕心
edogawa,2026-05-30,6,2,木場 悠介,,2026-05-30 23:11:51,54,37.5,37.5,16,馬場 剛
edogawa,2026-05-30,6,3,畑 竜生,,2026-05-30 23:11:51,53,25.0,37.5,34,福来 剛
edogawa,2026-05-30,6,4,菊地 敬介,,2026-05-30 23:11:51,47,26.7,26.7,29,上村 純一
edogawa,2026-05-30,6,5,石倉 洋行,,2026-05-30 23:11:51,17,33.3,66.7,23,鳥居塚 孝博
edogawa,2026-05-30,6,6,中澤 和志,,2026-05-30 23:11:51,68,62.5,62.5,2,
edogawa,2026-05-30,7,1,濱崎 誠,,2026-05-30 23:12:08,56,46.7,66.7,9,高田 明
edogawa,2026-05-30,7,2,益田 啓司,,2026-05-30 23:12:08,65,37.5,37.5,15,
edogawa,2026-05-30,7,3,松井 洪弥,,2026-05-30 23:12:08,66,50.0,62.5,4,
edogawa,2026-05-30,7,4,吉武 真也,,2026-05-30 23:12:08,51,7.7,15.4,44,権藤 俊光
edogawa,2026-05-30,7,5,川上 聡介,,2026-05-30 23:12:08,43,28.6,42.9,27,山口 達也
edogawa,2026-05-30,7,6,米本 圭佑,,2026-05-30 23:12:08,14,11.8,29.4,43,佐藤 隆太郎
edogawa,2026-05-30,8,1,山田 和佐,,2026-05-30 23:12:27,34,35.7,50.0,18,片岡 雅裕
edogawa,2026-05-30,8,2,品川 賢次,,2026-05-30 23:12:27,25,31.2,31.2,26,佐藤 大佑
edogawa,2026-05-30,8,3,加木 郁,,2026-05-30 23:12:27,64,50.0,62.5,7,
edogawa,2026-05-30,8,4,寺本 重宣,,2026-05-30 23:12:27,69,50.0,62.5,5,
edogawa,2026-05-30,8,5,吉川 晴人,,2026-05-30 23:12:27,67,0.0,12.5,46,
edogawa,2026-05-30,8,6,角山 雄哉,,2026-05-30 23:12:27,63,5.9,11.8,45,津久井 拓也
edogawa,2026-05-30,9,1,岡 暢祐,,2026-05-30 23:12:44,36,33.3,53.3,22,山田 康二
edogawa,2026-05-30,9,2,吉田 宗弘,,2026-05-30 23:12:44,60,17.6,47.1,38,杉山 正樹
edogawa,2026-05-30,9,3,中野 夢斗,,2026-05-30 23:12:44,18,35.3,58.8,19,上原 崚
edogawa,2026-05-30,9,4,近藤 颯斗,,2026-05-30 23:12:44,31,46.7,53.3,8,小池 修平
edogawa,2026-05-30,9,5,濱本 優一,,2026-05-30 23:12:44,57,31.2,43.8,25,松尾 祭
edogawa,2026-05-30,9,6,本岡 勝利,,2026-05-30 23:12:44,61,23.5,29.4,35,大池 佑来
edogawa,2026-05-30,10,1,小林 一樹,,2026-05-30 23:13:02,29,31.2,50.0,24,須藤 博倫
edogawa,2026-05-30,10,2,一色 凌雅,,2026-05-30 23:13:02,71,37.5,62.5,17,
edogawa,2026-05-30,10,3,木場 悠介,,2026-05-30 23:13:02,54,37.5,37.5,16,馬場 剛
edogawa,2026-05-30,10,4,若林 義人,,2026-05-30 23:13:02,55,12.5,18.8,42,栗城 匠
edogawa,2026-05-30,10,5,香川 陽太,,2026-05-30 23:13:02,50,18.8,31.2,37,荒井 翔伍
edogawa,2026-05-30,10,6,横田 海人,,2026-05-30 23:13:02,58,25.0,43.8,30,湯川 浩司
edogawa,2026-05-30,11,1,中澤 和志,,2026-05-30 23:13:19,68,62.5,62.5,2,
edogawa,2026-05-30,11,2,永井 源,,2026-05-30 23:13:19,32,35.3,47.1,21,濱野 斗馬
edogawa,2026-05-30,11,3,外崎 悟,,2026-05-30 23:13:19,28,17.6,70.6,39,酒見 峻介
edogawa,2026-05-30,11,4,柏野 幸二,,2026-05-30 23:13:19,41,43.8,50.0,11,永田 秀二
