venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
edogawa,2026-05-15,1,1,和田 操拓,,2026-05-16 08:42:19,38,40.0,40.0,18,
edogawa,2026-05-15,1,2,荒井 翔伍,,2026-05-16 08:42:19,50,20.0,20.0,33,
edogawa,2026-05-15,1,3,桑島 和宏,,2026-05-16 08:42:19,35,40.0,60.0,15,
edogawa,2026-05-15,1,4,濱野 斗馬,,2026-05-16 08:42:19,32,16.7,16.7,39,
edogawa,2026-05-15,1,5,上村 純一,,2026-05-16 08:42:19,47,20.0,20.0,31,
edogawa,2026-05-15,1,6,栗城 匠,,2026-05-16 08:42:19,55,0.0,0.0,47,
edogawa,2026-05-15,2,1,佐藤 大佑,,2026-05-16 08:42:25,25,33.3,33.3,22,
edogawa,2026-05-15,2,2,南 佑典,,2026-05-16 08:42:25,48,20.0,20.0,27,
edogawa,2026-05-15,2,3,平尾 崇典,,2026-05-16 08:42:25,33,50.0,50.0,13,
edogawa,2026-05-15,2,4,永田 秀二,,2026-05-16 08:42:25,41,40.0,40.0,17,
edogawa,2026-05-15,2,5,中野 次郎,,2026-05-16 08:42:25,24,0.0,16.7,51,
edogawa,2026-05-15,2,6,津久井 拓也,,2026-05-16 08:42:25,63,0.0,0.0,45,
edogawa,2026-05-15,3,1,小林 泰,,2026-05-16 08:42:32,45,20.0,40.0,34,
edogawa,2026-05-15,3,2,池永 太,,2026-05-16 08:42:32,39,20.0,20.0,29,
edogawa,2026-05-15,3,3,飯山 泰,,2026-05-16 08:42:32,46,40.0,60.0,16,
edogawa,2026-05-15,3,4,山田 康二,,2026-05-16 08:42:32,36,40.0,60.0,20,
edogawa,2026-05-15,3,5,馬場 剛,,2026-05-16 08:42:32,54,20.0,20.0,28,
edogawa,2026-05-15,3,6,黒柳 浩孝,,2026-05-16 08:42:32,11,33.3,50.0,24,
edogawa,2026-05-15,4,1,金田 智博,,2026-05-16 08:42:39,26,33.3,50.0,23,
edogawa,2026-05-15,4,2,酒見 峻介,,2026-05-16 08:42:39,28,0.0,50.0,50,
edogawa,2026-05-15,4,3,森作 雄大,,2026-05-16 08:42:39,22,16.7,33.3,36,
edogawa,2026-05-15,4,4,福来 剛,,2026-05-16 08:42:39,53,20.0,40.0,30,
edogawa,2026-05-15,4,5,佐藤 隆太郎,,2026-05-16 08:42:39,14,0.0,16.7,46,
edogawa,2026-05-15,4,6,末永 由楽,,2026-05-16 08:42:39,19,0.0,0.0,49,
edogawa,2026-05-15,5,1,松尾 祭,,2026-05-16 08:42:44,57,20.0,40.0,35,
edogawa,2026-05-15,5,2,桑島 和宏,,2026-05-16 08:42:44,35,40.0,60.0,15,
edogawa,2026-05-15,5,3,岡村 仁,,2026-05-16 08:42:44,30,16.7,50.0,40,
edogawa,2026-05-15,5,4,和田 操拓,,2026-05-16 08:42:44,38,40.0,40.0,18,
edogawa,2026-05-15,5,5,小原 聡将,,2026-05-16 08:42:44,21,0.0,33.3,48,
edogawa,2026-05-15,5,6,大池 佑来,,2026-05-16 08:42:44,61,50.0,50.0,11,
edogawa,2026-05-15,6,1,平尾 崇典,,2026-05-16 08:42:50,33,50.0,50.0,13,
edogawa,2026-05-15,6,2,上原 崚,,2026-05-16 08:42:50,18,33.3,33.3,25,
edogawa,2026-05-15,6,3,上村 純一,,2026-05-16 08:42:50,47,20.0,20.0,31,
edogawa,2026-05-15,6,4,佐藤 大佑,,2026-05-16 08:42:50,25,33.3,33.3,22,
edogawa,2026-05-15,6,5,荒井 翔伍,,2026-05-16 08:42:50,50,20.0,20.0,33,
edogawa,2026-05-15,6,6,是澤 孝宏,,2026-05-16 08:42:50,23,16.7,16.7,37,
edogawa,2026-05-15,7,1,飯山 泰,,2026-05-16 08:42:56,46,40.0,60.0,16,
edogawa,2026-05-15,7,2,安達 裕樹,,2026-05-16 08:42:56,10,16.7,16.7,42,
edogawa,2026-05-15,7,3,栗城 匠,,2026-05-16 08:42:56,55,0.0,0.0,47,
edogawa,2026-05-15,7,4,池永 太,,2026-05-16 08:42:56,39,20.0,20.0,29,
edogawa,2026-05-15,7,5,南 佑典,,2026-05-16 08:42:56,48,20.0,20.0,27,
edogawa,2026-05-15,7,6,濱野 斗馬,,2026-05-16 08:42:56,32,16.7,16.7,39,
edogawa,2026-05-15,8,1,永田 秀二,,2026-05-16 08:43:03,41,40.0,40.0,17,
edogawa,2026-05-15,8,2,福来 剛,,2026-05-16 08:43:03,53,20.0,40.0,30,
edogawa,2026-05-15,8,3,山田 康二,,2026-05-16 08:43:03,36,40.0,60.0,20,
edogawa,2026-05-15,8,4,酒見 峻介,,2026-05-16 08:43:03,28,0.0,50.0,50,
edogawa,2026-05-15,8,5,枝尾 賢,,2026-05-16 08:43:03,15,16.7,33.3,44,
edogawa,2026-05-15,8,6,小林 泰,,2026-05-16 08:43:03,45,20.0,40.0,34,
edogawa,2026-05-15,9,1,岡村 仁,,2026-05-16 08:43:08,30,16.7,50.0,40,
edogawa,2026-05-15,9,2,馬場 剛,,2026-05-16 08:43:08,54,20.0,20.0,28,
edogawa,2026-05-15,9,3,金田 智博,,2026-05-16 08:43:08,26,33.3,50.0,23,
edogawa,2026-05-15,9,4,中野 次郎,,2026-05-16 08:43:08,24,0.0,16.7,51,
edogawa,2026-05-15,9,5,森作 雄大,,2026-05-16 08:43:08,22,16.7,33.3,36,
edogawa,2026-05-15,9,6,松尾 祭,,2026-05-16 08:43:08,57,20.0,40.0,35,
edogawa,2026-05-15,10,1,井上 一輝,,2026-05-16 08:43:15,37,60.0,80.0,8,
edogawa,2026-05-15,10,2,西岡 顕心,,2026-05-16 08:43:15,16,50.0,66.7,10,
edogawa,2026-05-15,10,3,湯川 浩司,,2026-05-16 08:43:15,58,50.0,66.7,12,
edogawa,2026-05-15,10,4,須藤 博倫,,2026-05-16 08:43:15,29,33.3,66.7,21,
edogawa,2026-05-15,10,5,鳥居塚 孝博,,2026-05-16 08:43:15,17,16.7,66.7,41,
edogawa,2026-05-15,10,6,杉山 正樹,,2026-05-16 08:43:15,60,16.7,50.0,38,
edogawa,2026-05-15,11,1,小池 修平,,2026-05-16 08:43:23,31,66.7,83.3,5,
edogawa,2026-05-15,11,2,向後 龍一,,2026-05-16 08:43:23,27,66.7,66.7,3,
edogawa,2026-05-15,11,3,飛田 江己,,2026-05-16 08:43:23,12,66.7,66.7,4,
edogawa,2026-05-15,11,4,山田 亮太,,2026-05-16 08:43:23,62,50.0,66.7,9,
edogawa,2026-05-15,11,5,前沢 丈史,,2026-05-16 08:43:23,59,16.7,66.7,43,
edogawa,2026-05-15,11,6,渡邉 雄朗,,2026-05-16 08:43:23,40,20.0,60.0,26,
edogawa,2026-05-15,12,1,坂元 浩仁,,2026-05-16 08:43:31,13,83.3,83.3,2,
edogawa,2026-05-15,12,2,佐藤 悠,,2026-05-16 08:43:31,49,60.0,100.0,6,
edogawa,2026-05-15,12,3,高田 明,,2026-05-16 08:43:31,56,60.0,60.0,7,
edogawa,2026-05-15,12,4,長田 頼宗,,2026-05-16 08:43:31,52,20.0,60.0,32,
edogawa,2026-05-15,12,5,山口 達也,,2026-05-16 08:43:31,43,40.0,60.0,19,
edogawa,2026-05-15,12,6,片岡 雅裕,,2026-05-16 08:43:31,34,40.0,40.0,14,
