venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
biwako,2026-05-04,9,2,汐崎 正則,,2026-05-15 00:51:40,13,28.6,47.6,29,若林 麗
biwako,2026-05-04,9,3,北中 元樹,,2026-05-15 00:51:40,17,38.1,47.6,13,村田 浩司
biwako,2026-05-04,9,4,橋本 年光,,2026-05-15 00:51:40,70,40.0,73.3,11,下寺 秀和
biwako,2026-05-04,9,5,八木 治樹,,2026-05-15 00:51:40,51,14.3,42.9,41,小林 愛実
biwako,2026-05-04,9,6,繁野谷 圭介,,2026-05-15 00:51:40,54,40.0,53.3,9,末永 由楽
biwako,2026-05-04,10,1,藤原 仙二,,2026-05-15 00:52:07,57,35.7,50.0,20,山本 幸也
biwako,2026-05-04,10,2,丸野 一樹,,2026-05-15 00:52:07,16,45.8,54.2,8,鈴木 茂高
biwako,2026-05-04,10,3,君島 秀三,,2026-05-15 00:52:07,47,30.0,30.0,27,佐竹 太一
biwako,2026-05-04,10,4,香川 颯太,,2026-05-15 00:52:07,40,35.7,35.7,21,薗頭 心
biwako,2026-05-04,10,5,木下 雄介,,2026-05-15 00:52:07,73,25.0,25.0,30,藤田 康生
biwako,2026-05-04,10,6,守田 俊介,,2026-05-15 00:52:07,45,47.1,70.6,7,大池 佑来
biwako,2026-05-04,11,1,澤田 尚也,,2026-05-15 00:52:32,18,65.2,73.9,3,石田 勇斗
biwako,2026-05-04,11,2,山田 晃大,,2026-05-15 00:52:32,44,35.7,50.0,18,杉田 篤光
biwako,2026-05-04,11,3,是澤 孝宏,,2026-05-15 00:52:32,11,40.0,65.0,10,栗原 一馬
biwako,2026-05-04,11,4,南野 利騰,,2026-05-15 00:52:32,58,71.4,78.6,2,馬場 貴也
biwako,2026-05-04,11,5,吉川 晴人,,2026-05-15 00:52:32,43,13.3,46.7,44,高木 圭大
biwako,2026-05-04,11,6,吉川 昭男,,2026-05-15 00:52:32,63,15.4,38.5,39,竹内 来
biwako,2026-05-04,12,1,馬場 貴也,,2026-05-15 00:52:58,15,47.6,52.4,6,為本 智也
biwako,2026-05-04,12,2,廣瀬 凜,,2026-05-15 00:52:58,14,34.8,56.5,23,鈴木 結平太
biwako,2026-05-04,12,3,青木 玄太,,2026-05-15 00:52:58,19,31.8,68.2,25,畑 竜生
biwako,2026-05-04,12,4,松山 将吾,,2026-05-15 00:52:58,41,37.5,56.2,14,大田 直弥
biwako,2026-05-04,12,5,深井 利寿,,2026-05-15 00:52:58,72,54.5,72.7,5,奥田 誠
biwako,2026-05-04,12,6,木村 仁紀,,2026-05-15 00:52:58,67,38.5,69.2,12,松井 洪弥
