venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
edogawa,2026-05-12,1,1,,,2026-05-15 01:20:32,50,0.0,0.0,21,
edogawa,2026-05-12,1,2,安達 裕樹,,2026-05-15 01:20:32,10,0.0,0.0,49,
edogawa,2026-05-12,1,3,山田 亮太,,2026-05-15 01:20:32,62,100.0,100.0,6,
edogawa,2026-05-12,1,4,,,2026-05-15 01:20:32,55,0.0,0.0,30,
edogawa,2026-05-12,1,5,,,2026-05-15 01:20:32,51,0.0,0.0,22,
edogawa,2026-05-12,1,6,佐藤 悠,,2026-05-15 01:20:32,49,100.0,100.0,4,
edogawa,2026-05-12,2,1,飛田 江己,,2026-05-15 01:20:36,12,100.0,100.0,5,
edogawa,2026-05-12,2,2,松尾 祭,,2026-05-15 01:20:36,57,0.0,0.0,33,
edogawa,2026-05-12,2,3,,,2026-05-15 01:20:36,61,0.0,0.0,50,
edogawa,2026-05-12,2,4,酒見 峻介,,2026-05-15 01:20:36,28,0.0,50.0,53,
edogawa,2026-05-12,2,5,前沢 丈史,,2026-05-15 01:20:36,59,0.0,0.0,42,
edogawa,2026-05-12,2,6,上原 崚,,2026-05-15 01:20:36,18,0.0,0.0,52,
edogawa,2026-05-12,3,1,,,2026-05-15 01:20:42,63,0.0,0.0,36,
edogawa,2026-05-12,3,2,小池 修平,,2026-05-15 01:20:42,31,50.0,50.0,11,
edogawa,2026-05-12,3,3,馬場 剛,,2026-05-15 01:20:42,54,100.0,100.0,8,
edogawa,2026-05-12,3,4,森作 雄大,,2026-05-15 01:20:42,22,0.0,50.0,19,
edogawa,2026-05-12,3,5,,,2026-05-15 01:20:42,60,0.0,0.0,27,
edogawa,2026-05-12,3,6,南 佑典,,2026-05-15 01:20:42,48,0.0,0.0,29,
edogawa,2026-05-12,4,1,高田 明,,2026-05-15 01:20:46,56,100.0,100.0,2,
edogawa,2026-05-12,4,2,,,2026-05-15 01:20:46,52,0.0,0.0,45,
edogawa,2026-05-12,4,3,小原 聡将,,2026-05-15 01:20:46,21,0.0,50.0,40,
edogawa,2026-05-12,4,4,黒柳 浩孝,,2026-05-15 01:20:46,11,0.0,0.0,18,
edogawa,2026-05-12,4,5,枝尾 賢,,2026-05-15 01:20:46,15,50.0,50.0,12,
edogawa,2026-05-12,4,6,岡村 仁,,2026-05-15 01:20:46,30,0.0,0.0,26,
edogawa,2026-05-12,5,1,,,2026-05-15 01:20:51,13,0.0,0.0,46,
edogawa,2026-05-12,5,2,,,2026-05-15 01:20:51,53,0.0,0.0,16,
edogawa,2026-05-12,5,3,北野 輝季,,2026-05-15 01:20:51,20,0.0,0.0,25,
edogawa,2026-05-12,5,4,濱野 斗馬,,2026-05-15 01:20:51,32,0.0,0.0,15,
edogawa,2026-05-12,5,5,中野 次郎,,2026-05-15 01:20:51,24,0.0,50.0,23,
edogawa,2026-05-12,5,6,須藤 博倫,,2026-05-15 01:20:51,29,0.0,50.0,20,
edogawa,2026-05-12,6,1,佐藤 大佑,,2026-05-15 01:20:56,25,50.0,50.0,9,
edogawa,2026-05-12,6,2,向後 龍一,,2026-05-15 01:20:56,27,0.0,0.0,48,
edogawa,2026-05-12,6,3,佐藤 悠,,2026-05-15 01:20:56,49,100.0,100.0,4,
edogawa,2026-05-12,6,4,末永 由楽,,2026-05-15 01:20:56,19,0.0,0.0,44,
edogawa,2026-05-12,6,5,,,2026-05-15 01:20:56,58,0.0,0.0,39,
edogawa,2026-05-12,6,6,飯山 泰,,2026-05-15 01:20:56,46,0.0,0.0,35,
edogawa,2026-05-12,7,1,金田 智博,,2026-05-15 01:21:00,26,0.0,0.0,28,
edogawa,2026-05-12,7,2,,,2026-05-15 01:21:00,61,0.0,0.0,50,
edogawa,2026-05-12,7,3,,,2026-05-15 01:21:00,50,0.0,0.0,21,
edogawa,2026-05-12,7,4,是澤 孝宏,,2026-05-15 01:21:00,23,0.0,0.0,34,
edogawa,2026-05-12,7,5,,,2026-05-15 01:21:00,36,0.0,0.0,31,
edogawa,2026-05-12,7,6,,,2026-05-15 01:21:00,47,0.0,0.0,24,
edogawa,2026-05-12,8,1,,,2026-05-15 01:21:05,43,0.0,0.0,47,
edogawa,2026-05-12,8,2,,,2026-05-15 01:21:05,55,0.0,0.0,30,
edogawa,2026-05-12,8,3,鳥居塚 孝博,,2026-05-15 01:21:05,17,0.0,0.0,51,
edogawa,2026-05-12,8,4,小林 泰,,2026-05-15 01:21:05,45,0.0,100.0,37,
edogawa,2026-05-12,8,5,松尾 祭,,2026-05-15 01:21:05,57,0.0,0.0,33,
