venue,date,race,frame,racer,grade,fetched_at,motor_no,motor_rate2,motor_rate3,motor_rank,prev_user
edogawa,2026-05-01,1,1,石渡 翔一郎,,2026-05-15 01:16:47,63,34.2,52.7,16,郷原 章平
edogawa,2026-05-01,1,2,尾道 佳諭,,2026-05-15 01:16:47,50,26.5,46.1,45,西尾 亮輔
edogawa,2026-05-01,1,3,寺島 吉彦,,2026-05-15 01:16:47,55,38.3,58.7,7,吉川 勇作
edogawa,2026-05-01,1,4,大塚 雅治,,2026-05-15 01:16:47,52,29.8,44.7,34,小野 達哉
edogawa,2026-05-01,1,5,坂本 一真,,2026-05-15 01:16:47,41,35.2,48.2,13,石渡 翔一郎
edogawa,2026-05-01,1,6,港 理樹,,2026-05-15 01:16:47,62,38.0,52.7,8,川合 理司
edogawa,2026-05-01,2,1,田邉 亮蔵,,2026-05-15 01:16:52,61,31.0,48.2,29,飯島 昌弘
edogawa,2026-05-01,2,2,本吉 正樹,,2026-05-15 01:16:52,46,29.8,46.5,33,小川 竜太朗
edogawa,2026-05-01,2,3,尾形 栄治,,2026-05-15 01:16:52,66,36.3,51.8,11,堀越 雄貴
edogawa,2026-05-01,2,4,伏田 裕隆,,2026-05-15 01:16:52,14,31.7,44.9,25,柳橋 宏紀
edogawa,2026-05-01,2,5,澤崎 雄哉,,2026-05-15 01:16:52,70,26.4,42.3,47,松井 貫太
edogawa,2026-05-01,2,6,浅井 翼,,2026-05-15 01:16:52,40,36.2,47.6,12,高橋 英之
edogawa,2026-05-01,3,1,渡辺 豊,,2026-05-15 01:16:58,22,33.3,45.8,19,三嶌 誠司
edogawa,2026-05-01,3,2,上村 宏太,,2026-05-15 01:16:58,37,30.7,48.0,30,山道 諄也
edogawa,2026-05-01,3,3,齋藤 勇,,2026-05-15 01:16:58,64,26.9,42.9,44,松崎 祐太郎
edogawa,2026-05-01,3,4,佐藤 右京,,2026-05-15 01:16:58,51,30.7,45.4,31,田川 大貴
edogawa,2026-05-01,3,5,萩原 知哉,,2026-05-15 01:16:58,67,31.3,49.6,27,上之 晃弘
edogawa,2026-05-01,3,6,前沢 丈史,,2026-05-15 01:16:58,49,37.2,51.9,9,片岡 秀樹
edogawa,2026-05-01,4,1,多田 有佑,,2026-05-15 01:17:03,56,43.7,56.3,2,藤原 仙二
edogawa,2026-05-01,4,2,永田 秀二,,2026-05-15 01:17:03,32,24.8,38.2,48,鶴田 勇雄
edogawa,2026-05-01,4,3,小澤 学,,2026-05-15 01:17:03,21,31.3,45.8,26,金子 怜央
